lines;wkt_srid_4326;bus0;x;y;bus1;x;y;num_parallel;length;s_nom;capital_cost;;;;name;v_nom;x;y
11;"SRID=4326;LINESTRING(4.617460755 50.81888697,5.551448176 52.37428606)";BE1 0;50.81888697;4.617460755;NL1 0;5.551448176;52.37428606;4;230.7361828;6792.410447;806.1348944;"SRID=4326;LINESTRING(";4.617460755 50.81888697,5.551448176 52.37428606);"SRID=4326;LINESTRING(4.617460755 50.81888697,5.551448176 52.37428606)";DE1 6;380;13.40812218;52.71231914
12;"SRID=4326;LINESTRING(8.213076122 46.83243156,8.638908024 48.55722639)";CH1 0;46.83243156;8.213076122;DE1 4;8.638908024;48.55722639;16;243.0219175;27169.64179;849.0581989;"SRID=4326;LINESTRING(";8.213076122 46.83243156,8.638908024 48.55722639);"SRID=4326;LINESTRING(8.213076122 46.83243156,8.638908024 48.55722639)";DK1 0;380;9.780571805;55.95401092
13;"SRID=4326;LINESTRING(8.213076122 46.83243156,6.367222099 48.3358955)";CH1 0;46.83243156;8.213076122;FR1 0;6.367222099;48.3358955;2;271.3065031;3396.205223;947.8775135;"SRID=4326;LINESTRING(";8.213076122 46.83243156,6.367222099 48.3358955);"SRID=4326;LINESTRING(8.213076122 46.83243156,6.367222099 48.3358955)";DK2 0;380;12.28397443;55.50990254
14;"SRID=4326;LINESTRING(8.213076122 46.83243156,5.622022276 45.48300195)";CH1 0;46.83243156;8.213076122;FR1 5;5.622022276;45.48300195;3.736842105;312.0772708;6345.541339;1090.320446;"SRID=4326;LINESTRING(";8.213076122 46.83243156,5.622022276 45.48300195);"SRID=4326;LINESTRING(8.213076122 46.83243156,5.622022276 45.48300195)";EE6 0;380;25.8791518;58.97990628
15;"SRID=4326;LINESTRING(8.213076122 46.83243156,11.63804637 45.0715076)";CH1 0;46.83243156;8.213076122;IT1 0;11.63804637;45.0715076;2;411.5819985;3396.205223;1437.965242;"SRID=4326;LINESTRING(";8.213076122 46.83243156,11.63804637 45.0715076);"SRID=4326;LINESTRING(8.213076122 46.83243156,11.63804637 45.0715076)";ES1 0;380;-5.160633308;41.73162682
16;"SRID=4326;LINESTRING(8.213076122 46.83243156,8.88018764 45.19082504)";CH1 0;46.83243156;8.213076122;IT1 2;8.88018764;45.19082504;2.868421053;237.0838898;4870.873281;828.3122055;"SRID=4326;LINESTRING(";8.213076122 46.83243156,8.88018764 45.19082504);"SRID=4326;LINESTRING(8.213076122 46.83243156,8.88018764 45.19082504)";ES1 1;380;-0.427311444;40.63072053
17;"SRID=4326;LINESTRING(15.25576613 49.83502523,11.66396752 50.94962818)";CZ1 0;49.83502523;15.25576613;DE1 1;11.66396752;50.94962818;2;353.9274117;3396.205223;1236.53444;"SRID=4326;LINESTRING(";15.25576613 49.83502523,11.66396752 50.94962818);"SRID=4326;LINESTRING(15.25576613 49.83502523,11.66396752 50.94962818)";ES1 2;380;-5.006450304;37.65863915
18;"SRID=4326;LINESTRING(15.25576613 49.83502523,11.38125239 48.56970576)";CZ1 0;49.83502523;15.25576613;DE1 3;11.38125239;48.56970576;2;393.3090945;3396.205223;1374.124255;"SRID=4326;LINESTRING(";15.25576613 49.83502523,11.38125239 48.56970576);"SRID=4326;LINESTRING(15.25576613 49.83502523,11.38125239 48.56970576)";ES4 0;380;2.7388916;39.6729018
19;"SRID=4326;LINESTRING(15.25576613 49.83502523,19.08127436 51.58862009)";CZ1 0;49.83502523;15.25576613;PL1 0;19.08127436;51.58862009;2.578947368;415.5716323;4379.317262;1451.904031;"SRID=4326;LINESTRING(";15.25576613 49.83502523,19.08127436 51.58862009);"SRID=4326;LINESTRING(15.25576613 49.83502523,19.08127436 51.58862009)";FI2 0;380;25.0536855;62.85767991
20;"SRID=4326;LINESTRING(15.25576613 49.83502523,19.02788802 48.65333338)";CZ1 0;49.83502523;15.25576613;SK1 0;19.02788802;48.65333338;3.578947368;379.5915025;6077.419874;1326.198397;"SRID=4326;LINESTRING(";15.25576613 49.83502523,19.02788802 48.65333338);"SRID=4326;LINESTRING(15.25576613 49.83502523,19.02788802 48.65333338)";FR1 0;380;6.367222099;48.3358955
21;"SRID=4326;LINESTRING(8.857353599 50.0618076,11.66396752 50.94962818)";DE1 0;50.0618076;8.857353599;DE1 1;11.66396752;50.94962818;4;277.0740462;6792.410447;968.0278761;"SRID=4326;LINESTRING(";8.857353599 50.0618076,11.66396752 50.94962818);"SRID=4326;LINESTRING(8.857353599 50.0618076,11.66396752 50.94962818)";FR1 1;380;2.712987249;45.50734612
22;"SRID=4326;LINESTRING(8.857353599 50.0618076,7.178483981 51.3163777)";DE1 0;50.0618076;8.857353599;DE1 2;7.178483981;51.3163777;11.15789474;228.5978382;18947.25019;798.6640496;"SRID=4326;LINESTRING(";8.857353599 50.0618076,7.178483981 51.3163777);"SRID=4326;LINESTRING(8.857353599 50.0618076,7.178483981 51.3163777)";FR1 2;380;2.634126426;49.3190993
23;"SRID=4326;LINESTRING(8.857353599 50.0618076,11.38125239 48.56970576)";DE1 0;50.0618076;8.857353599;DE1 3;11.38125239;48.56970576;5.578947368;308.6901052;9473.625097;1078.486531;"SRID=4326;LINESTRING(";8.857353599 50.0618076,11.38125239 48.56970576);"SRID=4326;LINESTRING(8.857353599 50.0618076,11.38125239 48.56970576)";FR1 3;380;4.953855344;43.73260228
24;"SRID=4326;LINESTRING(8.857353599 50.0618076,8.638908024 48.55722639)";DE1 0;50.0618076;8.857353599;DE1 4;8.638908024;48.55722639;16.15789474;210.0617892;27437.76325;733.9036999;"SRID=4326;LINESTRING(";8.857353599 50.0618076,8.638908024 48.55722639);"SRID=4326;LINESTRING(8.857353599 50.0618076,8.638908024 48.55722639)";FR1 4;380;-1.168513645;47.68305456
25;"SRID=4326;LINESTRING(8.857353599 50.0618076,9.321350931 52.9822291)";DE1 0;50.0618076;8.857353599;DE1 5;9.321350931;52.9822291;4;407.8962698;6792.410447;1425.088221;"SRID=4326;LINESTRING(";8.857353599 50.0618076,9.321350931 52.9822291);"SRID=4326;LINESTRING(8.857353599 50.0618076,9.321350931 52.9822291)";FR1 5;380;5.622022276;45.48300195
26;"SRID=4326;LINESTRING(11.66396752 50.94962818,11.38125239 48.56970576)";DE1 1;50.94962818;11.66396752;DE1 3;11.38125239;48.56970576;4;331.7659676;6792.410447;1159.107861;"SRID=4326;LINESTRING(";11.66396752 50.94962818,11.38125239 48.56970576);"SRID=4326;LINESTRING(11.66396752 50.94962818,11.38125239 48.56970576)";FR1 6;380;0.272837346;44.15008722
27;"SRID=4326;LINESTRING(11.66396752 50.94962818,9.321350931 52.9822291)";DE1 1;50.94962818;11.66396752;DE1 5;9.321350931;52.9822291;2;346.4617065;3396.205223;1210.451121;"SRID=4326;LINESTRING(";11.66396752 50.94962818,9.321350931 52.9822291);"SRID=4326;LINESTRING(11.66396752 50.94962818,9.321350931 52.9822291)";GB0 0;380;-0.175885958;51.54171516
28;"SRID=4326;LINESTRING(11.66396752 50.94962818,13.40812218 52.71231914)";DE1 1;50.94962818;11.66396752;DE1 6;13.40812218;52.71231914;14.57894737;287.1579009;24756.5486;1003.258359;"SRID=4326;LINESTRING(";11.66396752 50.94962818,13.40812218 52.71231914);"SRID=4326;LINESTRING(11.66396752 50.94962818,13.40812218 52.71231914)";GB0 1;380;-2.249654704;53.18423833
29;"SRID=4326;LINESTRING(7.178483981 51.3163777,8.638908024 48.55722639)";DE1 2;51.3163777;7.178483981;DE1 4;8.638908024;48.55722639;5;405.1265181;8490.513059;1415.411397;"SRID=4326;LINESTRING(";7.178483981 51.3163777,8.638908024 48.55722639);"SRID=4326;LINESTRING(7.178483981 51.3163777,8.638908024 48.55722639)";GB0 2;380;-3.725189656;56.10163456
30;"SRID=4326;LINESTRING(7.178483981 51.3163777,9.321350931 52.9822291)";DE1 2;51.3163777;7.178483981;DE1 5;9.321350931;52.9822291;7.289473684;294.9518497;12378.2743;1030.48848;"SRID=4326;LINESTRING(";7.178483981 51.3163777,9.321350931 52.9822291);"SRID=4326;LINESTRING(7.178483981 51.3163777,9.321350931 52.9822291)";GB0 3;380;-0.962768593;53.82072819
31;"SRID=4326;LINESTRING(7.178483981 51.3163777,6.130510691 49.6773404)";DE1 2;51.3163777;7.178483981;LU1 0;6.130510691;49.6773404;2.026315789;245.9314804;3440.892134;859.2234886;"SRID=4326;LINESTRING(";7.178483981 51.3163777,6.130510691 49.6773404);"SRID=4326;LINESTRING(7.178483981 51.3163777,6.130510691 49.6773404)";GB0 4;380;-3.287456199;51.35955931
32;"SRID=4326;LINESTRING(7.178483981 51.3163777,5.551448176 52.37428606)";DE1 2;51.3163777;7.178483981;NL1 0;5.551448176;52.37428606;8;202.8216038;13584.82089;708.6082911;"SRID=4326;LINESTRING(";7.178483981 51.3163777,5.551448176 52.37428606);"SRID=4326;LINESTRING(7.178483981 51.3163777,5.551448176 52.37428606)";GB5 0;380;-6.097540943;54.66877875
33;"SRID=4326;LINESTRING(11.38125239 48.56970576,8.638908024 48.55722639)";DE1 3;48.56970576;11.38125239;DE1 4;8.638908024;48.55722639;5;252.2459246;8490.513059;881.284588;"SRID=4326;LINESTRING(";11.38125239 48.56970576,8.638908024 48.55722639);"SRID=4326;LINESTRING(11.38125239 48.56970576,8.638908024 48.55722639)";HU1 0;380;18.86277364;47.29836191
34;"SRID=4326;LINESTRING(8.638908024 48.55722639,6.367222099 48.3358955)";DE1 4;48.55722639;8.638908024;FR1 0;6.367222099;48.3358955;5.578947368;211.681759;9473.625097;739.5634718;"SRID=4326;LINESTRING(";8.638908024 48.55722639,6.367222099 48.3358955);"SRID=4326;LINESTRING(8.638908024 48.55722639,6.367222099 48.3358955)";IE5 0;380;-7.631337825;52.79981394
35;"SRID=4326;LINESTRING(9.321350931 52.9822291,13.40812218 52.71231914)";DE1 5;52.9822291;9.321350931;DE1 6;13.40812218;52.71231914;2;345.0574993;3396.205223;1205.54517;"SRID=4326;LINESTRING(";9.321350931 52.9822291,13.40812218 52.71231914);"SRID=4326;LINESTRING(9.321350931 52.9822291,13.40812218 52.71231914)";IT1 0;380;11.63804637;45.0715076
36;"SRID=4326;LINESTRING(9.321350931 52.9822291,9.780571805 55.95401092)";DE1 5;52.9822291;9.321350931;DK1 0;9.780571805;55.95401092;2.578947368;414.718538;4379.317262;1448.923531;"SRID=4326;LINESTRING(";9.321350931 52.9822291,9.780571805 55.95401092);"SRID=4326;LINESTRING(9.321350931 52.9822291,9.780571805 55.95401092)";IT1 1;380;13.49337764;41.8233588
37;"SRID=4326;LINESTRING(13.40812218 52.71231914,19.08127436 51.58862009)";DE1 6;52.71231914;13.40812218;PL1 0;19.08127436;51.58862009;4;508.2588053;6792.410447;1775.729984;"SRID=4326;LINESTRING(";13.40812218 52.71231914,19.08127436 51.58862009);"SRID=4326;LINESTRING(13.40812218 52.71231914,19.08127436 51.58862009)";IT1 2;380;8.88018764;45.19082504
38;"SRID=4326;LINESTRING(12.28397443 55.50990254,15.40462358 59.42929938)";DK2 0;55.50990254;12.28397443;SE2 1;15.40462358;59.42929938;2;592.4467357;3396.205223;2069.861696;"SRID=4326;LINESTRING(";12.28397443 55.50990254,15.40462358 59.42929938);"SRID=4326;LINESTRING(12.28397443 55.50990254,15.40462358 59.42929938)";IT1 3;380;15.67794806;38.91918475
39;"SRID=4326;LINESTRING(25.8791518 58.97990628,23.72468009 56.83880232)";EE6 0;58.97990628;25.8791518;LV6 0;23.72468009;56.83880232;1.184210526;337.4133688;2010.910988;1178.838477;"SRID=4326;LINESTRING(";25.8791518 58.97990628,23.72468009 56.83880232);"SRID=4326;LINESTRING(25.8791518 58.97990628,23.72468009 56.83880232)";IT3 0;380;8.7459755;39.9681955
40;"SRID=4326;LINESTRING(-5.160633308 41.73162682,-0.427311444 40.63072053)";ES1 0;41.73162682;-5.160633308;ES1 1;-0.427311444;40.63072053;12.63157895;518.1798491;21449.7172;1810.391646;"SRID=4326;LINESTRING(";-5.160633308 41.73162682,-0.427311444 40.63072053);"SRID=4326;LINESTRING(-5.160633308 41.73162682,-0.427311444 40.63072053)";LT6 0;380;23.00728207;55.16155858
41;"SRID=4326;LINESTRING(-5.160633308 41.73162682,-5.006450304 37.65863915)";ES1 0;41.73162682;-5.160633308;ES1 2;-5.006450304;37.65863915;16.18421053;566.3592504;27482.45016;1978.718504;"SRID=4326;LINESTRING(";-5.160633308 41.73162682,-5.006450304 37.65863915);"SRID=4326;LINESTRING(-5.160633308 41.73162682,-5.006450304 37.65863915)";LU1 0;380;6.130510691;49.6773404
42;"SRID=4326;LINESTRING(-5.160633308 41.73162682,-8.28212463 40.31346561)";ES1 0;41.73162682;-5.160633308;PT1 0;-8.28212463;40.31346561;4.868421053;382.0619914;8267.078505;1334.829672;"SRID=4326;LINESTRING(";-5.160633308 41.73162682,-8.28212463 40.31346561);"SRID=4326;LINESTRING(-5.160633308 41.73162682,-8.28212463 40.31346561)";LV6 0;380;23.72468009;56.83880232
43;"SRID=4326;LINESTRING(-0.427311444 40.63072053,-5.006450304 37.65863915)";ES1 1;40.63072053;-0.427311444;ES1 2;-5.006450304;37.65863915;9.289473684;643.5027765;15774.47952;2248.238817;"SRID=4326;LINESTRING(";-0.427311444 40.63072053,-5.006450304 37.65863915);"SRID=4326;LINESTRING(-0.427311444 40.63072053,-5.006450304 37.65863915)";NL1 0;380;5.551448176;52.37428606
44;"SRID=4326;LINESTRING(-0.427311444 40.63072053,4.953855344 43.73260228)";ES1 1;40.63072053;-0.427311444;FR1 3;4.953855344;43.73260228;1;701.9317278;1698.102612;2452.375056;"SRID=4326;LINESTRING(";-0.427311444 40.63072053,4.953855344 43.73260228);"SRID=4326;LINESTRING(-0.427311444 40.63072053,4.953855344 43.73260228)";NO2 0;380;8.623107409;60.9991011
45;"SRID=4326;LINESTRING(-0.427311444 40.63072053,0.272837346 44.15008722)";ES1 1;40.63072053;-0.427311444;FR1 6;0.272837346;44.15008722;1.578947368;494.4160221;2681.21465;1727.366739;"SRID=4326;LINESTRING(";-0.427311444 40.63072053,0.272837346 44.15008722);"SRID=4326;LINESTRING(-0.427311444 40.63072053,0.272837346 44.15008722)";PL1 0;380;19.08127436;51.58862009
46;"SRID=4326;LINESTRING(-5.006450304 37.65863915,-8.28212463 40.31346561)";ES1 2;37.65863915;-5.006450304;PT1 0;-8.28212463;40.31346561;4;511.2055829;6792.410447;1786.025293;"SRID=4326;LINESTRING(";-5.006450304 37.65863915,-8.28212463 40.31346561);"SRID=4326;LINESTRING(-5.006450304 37.65863915,-8.28212463 40.31346561)";PT1 0;380;-8.28212463;40.31346561
47;"SRID=4326;LINESTRING(25.0536855 62.85767991,17.51822784 64.09820586)";FI2 0;62.85767991;25.0536855;SE2 0;17.51822784;64.09820586;2;498.1062435;3396.205223;1740.259456;"SRID=4326;LINESTRING(";25.0536855 62.85767991,17.51822784 64.09820586);"SRID=4326;LINESTRING(25.0536855 62.85767991,17.51822784 64.09820586)";SE2 0;380;17.51822784;64.09820586
48;"SRID=4326;LINESTRING(6.367222099 48.3358955,2.634126426 49.3190993)";FR1 0;48.3358955;6.367222099;FR1 2;2.634126426;49.3190993;11.02631579;367.8623975;18723.81564;1285.219818;"SRID=4326;LINESTRING(";6.367222099 48.3358955,2.634126426 49.3190993);"SRID=4326;LINESTRING(6.367222099 48.3358955,2.634126426 49.3190993)";SE2 1;380;15.40462358;59.42929938
49;"SRID=4326;LINESTRING(6.367222099 48.3358955,5.622022276 45.48300195)";FR1 0;48.3358955;6.367222099;FR1 5;5.622022276;45.48300195;8.447368421;402.7922732;14344.49838;1407.256125;"SRID=4326;LINESTRING(";6.367222099 48.3358955,5.622022276 45.48300195);"SRID=4326;LINESTRING(6.367222099 48.3358955,5.622022276 45.48300195)";SI1 0;380;14.54677674;46.02597355
50;"SRID=4326;LINESTRING(2.712987249 45.50734612,2.634126426 49.3190993)";FR1 1;45.50734612;2.712987249;FR1 2;2.634126426;49.3190993;5.868421053;529.8613533;9965.181116;1851.20392;"SRID=4326;LINESTRING(";2.712987249 45.50734612,2.634126426 49.3190993);"SRID=4326;LINESTRING(2.712987249 45.50734612,2.634126426 49.3190993)";SK1 0;380;19.02788802;48.65333338
51;"SRID=4326;LINESTRING(2.712987249 45.50734612,4.953855344 43.73260228)";FR1 1;45.50734612;2.712987249;FR1 3;4.953855344;43.73260228;6.026315789;331.6333915;10233.30258;1158.644673;"SRID=4326;LINESTRING(";2.712987249 45.50734612,4.953855344 43.73260228);"SRID=4326;LINESTRING(2.712987249 45.50734612,4.953855344 43.73260228)";;;;
52;"SRID=4326;LINESTRING(2.712987249 45.50734612,-1.168513645 47.68305456)";FR1 1;45.50734612;2.712987249;FR1 4;-1.168513645;47.68305456;2.868421053;478.314505;4870.873281;1671.112039;"SRID=4326;LINESTRING(";2.712987249 45.50734612,-1.168513645 47.68305456);"SRID=4326;LINESTRING(2.712987249 45.50734612,-1.168513645 47.68305456)";;;;
53;"SRID=4326;LINESTRING(2.712987249 45.50734612,5.622022276 45.48300195)";FR1 1;45.50734612;2.712987249;FR1 5;5.622022276;45.48300195;3.157894737;283.4328374;5362.4293;990.2439127;"SRID=4326;LINESTRING(";2.712987249 45.50734612,5.622022276 45.48300195);"SRID=4326;LINESTRING(2.712987249 45.50734612,5.622022276 45.48300195)";;;;
54;"SRID=4326;LINESTRING(2.712987249 45.50734612,0.272837346 44.15008722)";FR1 1;45.50734612;2.712987249;FR1 6;0.272837346;44.15008722;3.868421053;305.6703258;6568.975893;1067.936172;"SRID=4326;LINESTRING(";2.712987249 45.50734612,0.272837346 44.15008722);"SRID=4326;LINESTRING(2.712987249 45.50734612,0.272837346 44.15008722)";;;;
55;"SRID=4326;LINESTRING(2.634126426 49.3190993,-1.168513645 47.68305456)";FR1 2;49.3190993;2.634126426;FR1 4;-1.168513645;47.68305456;6.315789474;417.4879135;10724.8586;1458.599041;"SRID=4326;LINESTRING(";2.634126426 49.3190993,-1.168513645 47.68305456);"SRID=4326;LINESTRING(2.634126426 49.3190993,-1.168513645 47.68305456)";;;;
56;"SRID=4326;LINESTRING(4.953855344 43.73260228,5.622022276 45.48300195)";FR1 3;43.73260228;4.953855344;FR1 5;5.622022276;45.48300195;8.026315789;252.1158072;13629.5078;880.82999;"SRID=4326;LINESTRING(";4.953855344 43.73260228,5.622022276 45.48300195);"SRID=4326;LINESTRING(4.953855344 43.73260228,5.622022276 45.48300195)";;;;
57;"SRID=4326;LINESTRING(-1.168513645 47.68305456,0.272837346 44.15008722)";FR1 4;47.68305456;-1.168513645;FR1 6;0.272837346;44.15008722;3.157894737;510.4306443;5362.4293;1783.31785;"SRID=4326;LINESTRING(";-1.168513645 47.68305456,0.272837346 44.15008722);"SRID=4326;LINESTRING(-1.168513645 47.68305456,0.272837346 44.15008722)";;;;
58;"SRID=4326;LINESTRING(5.622022276 45.48300195,8.88018764 45.19082504)";FR1 5;45.48300195;5.622022276;IT1 2;8.88018764;45.19082504;3.289473684;320.8919445;5585.863854;1121.116726;"SRID=4326;LINESTRING(";5.622022276 45.48300195,8.88018764 45.19082504);"SRID=4326;LINESTRING(5.622022276 45.48300195,8.88018764 45.19082504)";;;;
59;"SRID=4326;LINESTRING(-0.175885958 51.54171516,-0.962768593 53.82072819)";GB0 0;51.54171516;-0.175885958;GB0 3;-0.962768593;53.82072819;10;323.6280689;16981.02612;1130.676065;"SRID=4326;LINESTRING(";-0.175885958 51.54171516,-0.962768593 53.82072819);"SRID=4326;LINESTRING(-0.175885958 51.54171516,-0.962768593 53.82072819)";;;;
60;"SRID=4326;LINESTRING(-0.175885958 51.54171516,-3.287456199 51.35955931)";GB0 0;51.54171516;-0.175885958;GB0 4;-3.287456199;51.35955931;6;270.6877089;10188.61567;945.7156002;"SRID=4326;LINESTRING(";-0.175885958 51.54171516,-3.287456199 51.35955931);"SRID=4326;LINESTRING(-0.175885958 51.54171516,-3.287456199 51.35955931)";;;;
61;"SRID=4326;LINESTRING(-2.249654704 53.18423833,-3.725189656 56.10163456)";GB0 1;53.18423833;-2.249654704;GB0 2;-3.725189656;56.10163456;5.184210526;422.4843452;8803.321435;1476.055332;"SRID=4326;LINESTRING(";-2.249654704 53.18423833,-3.725189656 56.10163456);"SRID=4326;LINESTRING(-2.249654704 53.18423833,-3.725189656 56.10163456)";;;;
62;"SRID=4326;LINESTRING(-2.249654704 53.18423833,-0.962768593 53.82072819)";GB0 1;53.18423833;-2.249654704;GB0 3;-0.962768593;53.82072819;19.28947368;138.3625013;32755.50564;483.4042021;"SRID=4326;LINESTRING(";-2.249654704 53.18423833,-0.962768593 53.82072819);"SRID=4326;LINESTRING(-2.249654704 53.18423833,-0.962768593 53.82072819)";;;;
63;"SRID=4326;LINESTRING(-2.249654704 53.18423833,-3.287456199 51.35955931)";GB0 1;53.18423833;-2.249654704;GB0 4;-3.287456199;51.35955931;2;268.5322068;3396.205223;938.1848114;"SRID=4326;LINESTRING(";-2.249654704 53.18423833,-3.287456199 51.35955931);"SRID=4326;LINESTRING(-2.249654704 53.18423833,-3.287456199 51.35955931)";;;;
64;"SRID=4326;LINESTRING(-6.097540943 54.66877875,-7.631337825 52.79981394)";GB5 0;54.66877875;-6.097540943;IE5 0;-7.631337825;52.79981394;0.578947368;288.748711;983.1120384;1008.816254;"SRID=4326;LINESTRING(";-6.097540943 54.66877875,-7.631337825 52.79981394);"SRID=4326;LINESTRING(-6.097540943 54.66877875,-7.631337825 52.79981394)";;;;
65;"SRID=4326;LINESTRING(18.86277364 47.29836191,19.02788802 48.65333338)";HU1 0;47.29836191;18.86277364;SK1 0;19.02788802;48.65333338;2;188.957926;3396.205223;660.1720452;"SRID=4326;LINESTRING(";18.86277364 47.29836191,19.02788802 48.65333338);"SRID=4326;LINESTRING(18.86277364 47.29836191,19.02788802 48.65333338)";;;;
66;"SRID=4326;LINESTRING(11.63804637 45.0715076,13.49337764 41.8233588)";IT1 0;45.0715076;11.63804637;IT1 1;13.49337764;41.8233588;4.289473684;488.7155973;7283.966466;1707.450871;"SRID=4326;LINESTRING(";11.63804637 45.0715076,13.49337764 41.8233588);"SRID=4326;LINESTRING(11.63804637 45.0715076,13.49337764 41.8233588)";;;;
67;"SRID=4326;LINESTRING(11.63804637 45.0715076,8.88018764 45.19082504)";IT1 0;45.0715076;11.63804637;IT1 2;8.88018764;45.19082504;9.447368421;270.9251554;16042.60099;946.5451794;"SRID=4326;LINESTRING(";11.63804637 45.0715076,8.88018764 45.19082504);"SRID=4326;LINESTRING(11.63804637 45.0715076,8.88018764 45.19082504)";;;;
68;"SRID=4326;LINESTRING(11.63804637 45.0715076,14.54677674 46.02597355)";IT1 0;45.0715076;11.63804637;SI1 0;14.54677674;46.02597355;1.289473684;312.6426262;2189.658631;1092.295657;"SRID=4326;LINESTRING(";11.63804637 45.0715076,14.54677674 46.02597355);"SRID=4326;LINESTRING(11.63804637 45.0715076,14.54677674 46.02597355)";;;;
69;"SRID=4326;LINESTRING(13.49337764 41.8233588,15.67794806 38.91918475)";IT1 1;41.8233588;13.49337764;IT1 3;15.67794806;38.91918475;5;465.2084065;8490.513059;1625.322587;"SRID=4326;LINESTRING(";13.49337764 41.8233588,15.67794806 38.91918475);"SRID=4326;LINESTRING(13.49337764 41.8233588,15.67794806 38.91918475)";;;;
70;"SRID=4326;LINESTRING(23.00728207 55.16155858,23.72468009 56.83880232)";LT6 0;55.16155858;23.00728207;LV6 0;23.72468009;56.83880232;2.368421053;239.6981319;4021.821975;837.4457177;"SRID=4326;LINESTRING(";23.00728207 55.16155858,23.72468009 56.83880232);"SRID=4326;LINESTRING(23.00728207 55.16155858,23.72468009 56.83880232)";;;;
