	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t41	0.15	0.10	0.06	0.04	0.04	0.03	0.02	0.03	0.03	0.03	0.03
t42	0.04	0.04	0.05	0.04	0.05	0.04	0.03	0.04	0.03	0.04	0.04
t43	0.04	0.05	0.06	0.07	0.04	0.05	0.04	0.04	0.04	0.05	0.06
t44	0.07	0.08	0.09	0.08	0.07	0.05	0.05	0.05	0.04	0.03	0.03
t45	0.02	0.02	0.02	0.02	0.04	0.07	0.08	0.07	0.07	0.10	0.13
t46	0.13	0.13	0.14	0.19	0.28	0.32	0.38	0.35	0.38	0.37	0.36
t47	0.38	0.40	0.41	0.40	0.37	0.35	0.32	0.32	0.19	0.17	0.19
t48	0.18	0.18	0.16	0.14	0.12	0.12	0.12	0.12	0.10	0.10	0.09
t49	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.02	0.02	0.01
t50	0.01	0.01	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.03
t51	0.03	0.03	0.02	0.02	0.03	0.04	0.04	0.04	0.03	0.04	0.04
t52	0.04	0.04	0.05	0.07	0.10	0.15	0.17	0.22	0.27	0.32	0.41
t53	0.46	0.49	0.50	0.57	0.61	0.62	0.65	0.68	0.67	0.64	0.61
t54	0.64	0.65	0.64	0.62	0.68	0.67	0.69	0.64	0.61	0.59	0.56
t55	0.51	0.46	0.41	0.37	0.35	0.34	0.30	0.28	0.28	0.24	0.20
t56	0.16	0.14	0.13	0.10	0.08	0.05	0.04	0.04	0.04	0.03	0.03
t57	0.03	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.04	0.05
t58	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.02	0.02
t59	0.03	0.04	0.07	0.11	0.12	0.11	0.09	0.08	0.04	0.03	0.03
t60	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.03
t61	0.04	0.06	0.08	0.09	0.09	0.07	0.06	0.07	0.10	0.11	0.11
t62	0.12	0.11	0.09	0.07	0.07	0.08	0.12	0.17	0.23	0.26	0.32
t63	0.28	0.24	0.26	0.27	0.27	0.22	0.22	0.27	0.31	0.32	0.36
t64	0.39	0.49	0.52	0.52	0.56	0.55	0.48	0.41	0.39	0.41	0.45
t65	0.48	0.51	0.22	0.19	0.22	0.21	0.26	0.26	0.24	0.25	0.28
t66	0.28	0.30	0.44	0.57	0.76	0.07	0.07	0.07	0.08	0.08	0.09
t67	0.10	0.12	0.13	0.16	0.16	0.18	0.20	0.18	0.14	0.13	0.09
t68	0.07	0.06	0.04	0.03	0.03	0.02	0.02	0.01	0.01	0.01	0.01
t69	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01
t70	0.01	0.02	0.02	0.02	0.02	0.03	0.04	0.05	0.05	0.06	0.08
t71	0.09	0.12	0.12	0.11	0.14	0.18	0.15	0.12	0.09	0.07	0.05
t72	0.05	0.05	0.06	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.03
t73	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02
t74	0.03	0.03	0.03	0.06	0.09	0.12	0.16	0.24	0.29	0.36	0.43
t75	0.43	0.44	0.35	0.24	0.17	0.13	0.11	0.12	0.14	0.23	0.36
t76	0.45	0.47	0.48	0.48	0.44	0.37	0.34	0.31	0.25	0.22	0.21
t77	0.19	0.16	0.14	0.10	0.08	0.08	0.07	0.05	0.05	0.05	0.07
t78	0.09	0.10	0.11	0.12	0.11	0.12	0.11	0.11	0.11	0.12	0.11
t79	0.11	0.11	0.10	0.10	0.09	0.09	0.08	0.09	0.12	0.22	0.32
t80	0.40	0.37	0.36	0.40	0.36	0.25	0.12	0.13	0.14	0.13	0.20
t81	0.43	0.54	0.56	0.55	0.52	0.50	0.53	0.52	0.48	0.47	0.50
t82	0.56	0.54	0.51	0.47	0.45	0.43	0.40	0.19	0.20	0.20	0.17
t83	0.17	0.53	0.81	0.82	0.85	0.83	0.81	0.78	0.68	0.51	0.36
t84	0.26	0.25	0.29	0.32	0.32	0.31	0.26	0.17	0.11	0.23	0.21
t85	0.23	0.31	0.42	0.52	0.61	0.62	0.55	0.45	0.34	0.30	0.27
t86	0.19	0.16	0.15	0.13	0.14	0.26	0.57	0.68	0.67	0.62	0.52
t87	0.68	0.57	0.58	0.49	0.46	0.53	0.62	0.68	0.73	0.78	0.83
t88	0.85	0.83	0.85	0.87	0.88	0.89	0.89	0.89	0.89	0.90	0.90
t89	0.89	0.91	0.91	0.91	0.90	0.91	0.91	0.89	0.88	0.88	0.87
t90	0.86	0.85	0.84	0.78	0.78	0.77	0.76	0.73	0.71	0.70	0.68
t91	0.65	0.60	0.62	0.68	0.69	0.74	0.75	0.73	0.72	0.68	0.67
t92	0.67	0.68	0.68	0.68	0.67	0.63	0.66	0.70	0.72	0.71	0.70
t93	0.71	0.68	0.64	0.64	0.73	0.72	0.71	0.73	0.76	0.79	0.79
t94	0.77	0.76	0.74	0.69	0.65	0.61	0.60	0.62	0.61	0.58	0.58
t95	0.57	0.57	0.56	0.54	0.54	0.53	0.55	0.50	0.38	0.39	0.40
t96	0.43	0.48	0.46	0.42	0.42	0.39	0.34	0.29	0.24	0.19	0.21
t97	0.19	0.17	0.16	0.14	0.13	0.11	0.10	0.09	0.07	0.06	0.06
t98	0.07	0.07	0.08	0.09	0.08	0.07	0.08	0.08	0.08	0.07	0.07
t99	0.06	0.05	0.05	0.05	0.06	0.07	0.07	0.07	0.07	0.07	0.07
t100	0.06	0.06	0.06	0.07	0.08	0.07	0.08	0.07	0.06	0.06	0.06
t101	0.06	0.06	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.05
t102	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.04
t103	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.04
t104	0.04	0.04	0.03	0.03	0.02	0.01	0.01	0.02	0.02	0.02	0.02
t105	0.03	0.04	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.03
t106	0.03	0.03	0.04	0.05	0.04	0.03	0.02	0.03	0.03	0.03	0.04
t107	0.05	0.05	0.04	0.05	0.06	0.06	0.07	0.07	0.07	0.07	0.06
t108	0.06	0.05	0.05	0.06	0.07	0.07	0.07	0.05	0.05	0.06	0.08
t109	0.09	0.10	0.09	0.09	0.09	0.10	0.10	0.09	0.08	0.09	0.11
t110	0.12	0.12	0.12	0.10	0.10	0.11	0.12	0.13	0.15	0.21	0.21
t111	0.20	0.19	0.21	0.21	0.20	0.15	0.13	0.12	0.12	0.12	0.12
t112	0.11	0.10	0.09	0.08	0.08	0.06	0.06	0.05	0.05	0.05	0.04
t113	0.04	0.06	0.07	0.07	0.07	0.08	0.09	0.11	0.11	0.14	0.18
t114	0.20	0.23	0.27	0.29	0.32	0.36	0.42	0.45	0.49	0.53	0.54
t115	0.53	0.49	0.51	0.51	0.48	0.44	0.41	0.37	0.35	0.33	0.27
t116	0.26	0.25	0.23	0.22	0.21	0.20	0.19	0.18	0.18	0.17	0.16
t117	0.15	0.15	0.17	0.19	0.20	0.18	0.17	0.16	0.17	0.15	0.13
t118	0.12	0.13	0.14	0.14	0.17	0.20	0.21	0.15	0.16	0.17	0.17
t119	0.17	0.15	0.11	0.08	0.07	0.05	0.04	0.03	0.02	0.03	0.04
t120	0.05	0.06	0.05	0.04	0.04	0.04	0.04	0.06	0.08	0.12	0.13
t121	0.16	0.20	0.24	0.30	0.33	0.36	0.36	0.38	0.39	0.39	0.35
t122	0.38	0.38	0.42	0.45	0.48	0.50	0.47	0.42	0.41	0.38	0.37
t123	0.33	0.34	0.37	0.36	0.39	0.41	0.41	0.44	0.47	0.49	0.48
t124	0.49	0.47	0.48	0.52	0.52	0.57	0.54	0.57	0.64	0.68	0.68
t125	0.67	0.67	0.60	0.56	0.54	0.54	0.53	0.51	0.49	0.47	0.45
t126	0.42	0.38	0.46	0.46	0.41	0.39	0.31	0.23	0.17	0.19	0.25
t127	0.30	0.32	0.32	0.32	0.29	0.25	0.23	0.16	0.10	0.06	0.05
t128	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.04	0.05	0.04
t129	0.05	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04
t130	0.04	0.05	0.06	0.06	0.06	0.06	0.06	0.08	0.09	0.12	0.15
t131	0.18	0.16	0.15	0.16	0.17	0.18	0.19	0.21	0.25	0.31	0.14
t132	0.11	0.09	0.07	0.07	0.08	0.08	0.06	0.04	0.04	0.04	0.05
t133	0.06	0.06	0.05	0.05	0.03	0.04	0.06	0.08	0.11	0.21	0.19
t134	0.24	0.32	0.32	0.30	0.28	0.23	0.18	0.12	0.08	0.06	0.06
t135	0.05	0.06	0.06	0.06	0.06	0.05	0.04	0.05	0.07	0.07	0.06
t136	0.06	0.05	0.05	0.06	0.06	0.07	0.07	0.08	0.09	0.09	0.08
t137	0.06	0.06	0.04	0.05	0.06	0.08	0.09	0.09	0.10	0.13	0.19
t138	0.25	0.28	0.29	0.31	0.32	0.33	0.42	0.50	0.54	0.56	0.57
t139	0.55	0.51	0.52	0.62	0.65	0.69	0.70	0.70	0.68	0.64	0.49
t140	0.43	0.40	0.38	0.35	0.33	0.33	0.26	0.20	0.17	0.14	0.08
t141	0.05	0.03	0.02	0.02	0.04	0.05	0.05	0.07	0.08	0.07	0.06
t142	0.05	0.05	0.09	0.12	0.15	0.18	0.20	0.14	0.15	0.17	0.19
t143	0.21	0.24	0.26	0.25	0.24	0.23	0.22	0.18	0.11	0.11	0.12
t144	0.14	0.16	0.14	0.11	0.11	0.11	0.10	0.09	0.06	0.04	0.03
t145	0.04	0.04	0.05	0.05	0.06	0.06	0.06	0.04	0.04	0.05	0.04
t146	0.04	0.05	0.06	0.08	0.08	0.08	0.07	0.08	0.10	0.11	0.12
t147	0.10	0.09	0.09	0.10	0.11	0.13	0.14	0.16	0.17	0.14	0.13
t148	0.12	0.08	0.09	0.11	0.12	0.14	0.15	0.15	0.24	0.32	0.33
t149	0.30	0.27	0.15	0.12	0.10	0.10	0.10	0.11	0.11	0.11	0.10
t150	0.09	0.10	0.12	0.12	0.13	0.14	0.15	0.15	0.13	0.11	0.10
t151	0.11	0.13	0.13	0.13	0.12	0.12	0.12	0.11	0.10	0.09	0.09
t152	0.08	0.07	0.06	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.02
t153	0.02	0.02	0.03	0.03	0.05	0.06	0.10	0.13	0.15	0.18	0.21
t154	0.23	0.26	0.29	0.29	0.36	0.38	0.43	0.48	0.54	0.56	0.57
t155	0.45	0.41	0.36	0.40	0.44	0.47	0.46	0.47	0.41	0.48	0.51
t156	0.52	0.52	0.54	0.56	0.58	0.59	0.53	0.60	0.79	0.71	0.70
t157	0.73	0.73	0.76	0.71	0.67	0.58	0.59	0.63	0.67	0.69	0.68
t158	0.72	0.73	0.73	0.74	0.75	0.75	0.76	0.75	0.68	0.75	0.86
t159	0.82	0.84	0.84	0.83	0.81	0.77	0.69	0.64	0.67	0.72	0.77
t160	0.79	0.81	0.81	0.82	0.84	0.83	0.76	0.67	0.62	0.60	0.47
t161	0.59	0.61	0.52	0.51	0.52	0.52	0.54	0.44	0.30	0.19	0.18
t162	0.22	0.25	0.28	0.33	0.44	0.55	0.67	0.72	0.72	0.69	0.65
t163	0.62	0.56	0.48	0.40	0.23	0.18	0.16	0.18	0.22	0.31	0.31
t164	0.27	0.27	0.27	0.24	0.20	0.19	0.16	0.15	0.13	0.11	0.09
t165	0.07	0.05	0.04	0.04	0.03	0.04	0.05	0.06	0.07	0.08	0.07
t166	0.06	0.04	0.04	0.04	0.06	0.08	0.09	0.06	0.07	0.08	0.09
t167	0.10	0.09	0.09	0.08	0.08	0.06	0.03	0.02	0.02	0.02	0.03
t168	0.03	0.02	0.02	0.02	0.05	0.09	0.13	0.15	0.15	0.18	0.17
t169	0.15	0.13	0.13	0.12	0.10	0.08	0.06	0.05	0.04	0.03	0.03
t170	0.03	0.04	0.04	0.05	0.06	0.10	0.15	0.18	0.17	0.15	0.14
t171	0.16	0.16	0.12	0.10	0.08	0.06	0.07	0.08	0.08	0.06	0.05
t172	0.05	0.05	0.05	0.05	0.05	0.07	0.08	0.10	0.11	0.10	0.08
t173	0.08	0.07	0.04	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.06
t174	0.06	0.05	0.05	0.04	0.04	0.04	0.05	0.07	0.10	0.11	0.09
t175	0.11	0.12	0.15	0.19	0.15	0.22	0.28	0.31	0.32	0.32	0.31
t176	0.28	0.25	0.19	0.14	0.11	0.07	0.05	0.05	0.04	0.03	0.03
t177	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.02
t178	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01
t179	0.01	0.01	0.02	0.03	0.04	0.05	0.04	0.04	0.03	0.02	0.02
t180	0.01	0.01	0.01	0.02	0.02	0.03	0.03	0.03	0.05	0.06	0.09
t181	0.10	0.13	0.16	0.19	0.21	0.28	0.33	0.33	0.31	0.29	0.35
t182	0.36	0.36	0.36	0.37	0.38	0.39	0.42	0.45	0.40	0.45	0.66
t183	0.47	0.58	0.67	0.70	0.69	0.63	0.61	0.61	0.63	0.63	0.61
t184	0.58	0.45	0.38	0.34	0.29	0.19	0.14	0.14	0.14	0.14	0.12
t185	0.12	0.18	0.22	0.33	0.50	0.63	0.71	0.72	0.79	0.81	0.79
t186	0.73	0.64	0.52	0.48	0.61	0.64	0.65	0.54	0.40	0.28	0.21
t187	0.17	0.12	0.21	0.29	0.12	0.09	0.11	0.10	0.07	0.06	0.03
t188	0.03	0.03	0.03	0.04	0.05	0.11	0.16	0.18	0.23	0.38	0.52
t189	0.49	0.43	0.37	0.28	0.51	0.50	0.22	0.25	0.32	0.32	0.29
t190	0.26	0.18	0.18	0.16	0.14	0.15	0.14	0.10	0.10	0.11	0.12
t191	0.10	0.08	0.07	0.05	0.05	0.08	0.09	0.08	0.07	0.08	0.09
t192	0.10	0.12	0.12	0.14	0.21	0.26	0.29	0.33	0.31	0.23	0.21
t193	0.19	0.15	0.13	0.13	0.16	0.21	0.28	0.36	0.42	0.54	0.55
t194	0.60	0.65	0.70	0.75	0.74	0.77	0.75	0.74	0.71	0.68	0.64
t195	0.56	0.54	0.49	0.38	0.26	0.20	0.22	0.33	0.43	0.53	0.60
t196	0.63	0.65	0.49	0.42	0.30	0.23	0.14	0.07	0.03	0.03	0.04
t197	0.06	0.07	0.07	0.09	0.13	0.13	0.15	0.20	0.26	0.29	0.31
t198	0.39	0.41	0.44	0.45	0.51	0.55	0.53	0.50	0.50	0.46	0.45
t199	0.46	0.45	0.44	0.45	0.40	0.43	0.43	0.43	0.45	0.49	0.51
t200	0.51	0.55	0.57	0.58	0.60	0.60	0.59	0.57	0.52	0.50	0.48
t201	0.43	0.42	0.40	0.40	0.38	0.34	0.31	0.30	0.31	0.27	0.24
t202	0.24	0.22	0.21	0.16	0.15	0.14	0.11	0.06	0.06	0.05	0.04
t203	0.03	0.03	0.03	0.03	0.03	0.04	0.06	0.06	0.06	0.05	0.05
t204	0.06	0.07	0.08	0.10	0.13	0.14	0.13	0.19	0.31	0.30	0.28
t205	0.27	0.32	0.35	0.38	0.37	0.38	0.39	0.40	0.40	0.39	0.37
t206	0.36	0.33	0.35	0.33	0.31	0.31	0.30	0.28	0.22	0.25	0.29
t207	0.36	0.46	0.51	0.46	0.40	0.40	0.43	0.47	0.48	0.46	0.43
t208	0.41	0.41	0.39	0.35	0.34	0.31	0.29	0.26	0.25	0.23	0.18
t209	0.23	0.32	0.50	0.55	0.55	0.52	0.51	0.49	0.42	0.41	0.44
t210	0.49	0.49	0.48	0.50	0.46	0.42	0.40	0.36	0.37	0.38	0.36
t211	0.32	0.24	0.18	0.15	0.19	0.22	0.25	0.32	0.21	0.16	0.12
t212	0.10	0.10	0.11	0.12	0.15	0.13	0.12	0.09	0.07	0.06	0.07
t213	0.09	0.11	0.11	0.08	0.07	0.06	0.05	0.05	0.05	0.04	0.05
t214	0.05	0.05	0.08	0.14	0.16	0.12	0.07	0.06	0.05	0.04	0.04
t215	0.04	0.03	0.03	0.02	0.02	0.02	0.04	0.07	0.11	0.17	0.19
t216	0.24	0.31	0.34	0.36	0.45	0.52	0.55	0.53	0.53	0.52	0.54
t217	0.57	0.61	0.54	0.41	0.29	0.16	0.07	0.04	0.04	0.05	0.04
t218	0.07	0.11	0.19	0.35	0.46	0.55	0.67	0.74	0.77	0.76	0.75
t219	0.72	0.69	0.69	0.66	0.62	0.58	0.54	0.51	0.51	0.53	0.50
t220	0.54	0.59	0.64	0.62	0.62	0.55	0.55	0.61	0.61	0.59	0.53
t221	0.40	0.26	0.16	0.19	0.19	0.21	0.24	0.28	0.29	0.27	0.26
t222	0.24	0.24	0.26	0.28	0.33	0.28	0.25	0.25	0.19	0.18	0.20
t223	0.21	0.24	0.28	0.29	0.26	0.22	0.27	0.31	0.31	0.28	0.27
t224	0.24	0.20	0.13	0.13	0.11	0.11	0.09	0.08	0.06	0.05	0.04
t225	0.06	0.08	0.10	0.10	0.12	0.15	0.14	0.11	0.09	0.07	0.07
t226	0.07	0.06	0.05	0.04	0.03	0.02	0.02	0.03	0.03	0.03	0.04
t227	0.05	0.07	0.08	0.10	0.17	0.21	0.27	0.31	0.29	0.29	0.29
t228	0.30	0.32	0.33	0.29	0.20	0.10	0.08	0.07	0.05	0.02	0.02
t229	0.03	0.03	0.04	0.03	0.03	0.05	0.05	0.05	0.05	0.06	0.06
t230	0.07	0.07	0.06	0.06	0.06	0.05	0.04	0.03	0.02	0.02	0.02
t231	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.13	0.18	0.22	0.22
t232	0.23	0.21	0.20	0.20	0.22	0.23	0.23	0.25	0.24	0.22	0.23
t233	0.21	0.22	0.33	0.42	0.49	0.56	0.57	0.52	0.53	0.58	0.62
t234	0.63	0.62	0.56	0.51	0.45	0.39	0.37	0.30	0.18	0.12	0.11
t235	0.08	0.05	0.04	0.06	0.08	0.11	0.11	0.12	0.13	0.16	0.28
t236	0.43	0.46	0.45	0.40	0.34	0.34	0.30	0.23	0.21	0.19	0.16
t237	0.15	0.15	0.13	0.10	0.09	0.10	0.12	0.14	0.12	0.09	0.08
t238	0.07	0.05	0.04	0.07	0.10	0.07	0.03	0.02	0.01	0.02	0.03
t239	0.03	0.03	0.04	0.04	0.05	0.05	0.06	0.05	0.03	0.02	0.02
t240	0.02	0.02	0.02	0.03	0.03	0.03	0.04	0.05	0.04	0.06	0.06
t241	0.06	0.06	0.07	0.07	0.08	0.08	0.06	0.05	0.06	0.08	0.13
t242	0.15	0.14	0.12	0.12	0.10	0.07	0.07	0.08	0.08	0.07	0.05
t243	0.05	0.04	0.03	0.03	0.03	0.03	0.04	0.05	0.05	0.05	0.05
t244	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.07	0.09	0.09	0.10
t245	0.11	0.12	0.13	0.14	0.13	0.14	0.16	0.14	0.10	0.07	0.04
t246	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.02
t247	0.02	0.03	0.03	0.03	0.02	0.03	0.06	0.05	0.03	0.02	0.02
t248	0.01	0.01	0.02	0.02	0.03	0.03	0.03	0.03	0.05	0.04	0.05
t249	0.12	0.25	0.18	0.17	0.24	0.27	0.23	0.26	0.31	0.34	0.35
t250	0.33	0.33	0.33	0.31	0.30	0.30	0.34	0.33	0.35	0.36	0.37
t251	0.42	0.40	0.38	0.41	0.43	0.48	0.49	0.47	0.35	0.38	0.41
t252	0.44	0.45	0.46	0.46	0.48	0.46	0.47	0.50	0.51	0.46	0.48
t253	0.51	0.53	0.53	0.51	0.48	0.43	0.47	0.49	0.48	0.44	0.34
t254	0.33	0.33	0.32	0.33	0.32	0.30	0.29	0.28	0.29	0.31	0.34
t255	0.37	0.37	0.37	0.38	0.38	0.33	0.30	0.31	0.36	0.34	0.30
t256	0.26	0.20	0.23	0.28	0.30	0.31	0.32	0.31	0.29	0.21	0.20
t257	0.24	0.31	0.24	0.23	0.23	0.23	0.21	0.15	0.10	0.08	0.07
t258	0.05	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03
t259	0.03	0.03	0.04	0.05	0.04	0.05	0.06	0.06	0.06	0.06	0.05
t260	0.04	0.05	0.05	0.06	0.06	0.05	0.05	0.05	0.04	0.03	0.03
t261	0.03	0.04	0.06	0.04	0.06	0.08	0.06	0.07	0.05	0.04	0.04
t262	0.04	0.04	0.07	0.17	0.28	0.36	0.36	0.28	0.26	0.46	0.51
t263	0.46	0.44	0.47	0.46	0.41	0.45	0.44	0.46	0.43	0.46	0.47
t264	0.51	0.45	0.35	0.37	0.38	0.39	0.38	0.33	0.26	0.20	0.19
t265	0.19	0.15	0.13	0.12	0.11	0.09	0.06	0.04	0.03	0.03	0.03
t266	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.05	0.06	0.06	0.06
t267	0.06	0.07	0.06	0.06	0.05	0.04	0.06	0.09	0.09	0.11	0.16
t268	0.20	0.24	0.25	0.23	0.24	0.23	0.22	0.21	0.21	0.24	0.25
t269	0.24	0.23	0.23	0.22	0.21	0.20	0.21	0.21	0.23	0.27	0.25
t270	0.26	0.28	0.27	0.23	0.24	0.20	0.18	0.16	0.16	0.14	0.19
t271	0.22	0.25	0.25	0.23	0.12	0.18	0.21	0.23	0.24	0.29	0.35
t272	0.36	0.29	0.26	0.27	0.28	0.29	0.32	0.33	0.32	0.27	0.25
t273	0.21	0.18	0.23	0.29	0.30	0.26	0.20	0.16	0.14	0.14	0.13
t274	0.12	0.13	0.13	0.10	0.12	0.16	0.23	0.36	0.36	0.32	0.31
t275	0.30	0.35	0.33	0.29	0.29	0.34	0.39	0.39	0.29	0.29	0.27
t276	0.27	0.27	0.25	0.26	0.28	0.22	0.25	0.31	0.38	0.47	0.47
t277	0.45	0.45	0.46	0.48	0.46	0.41	0.41	0.41	0.39	0.41	0.41
t278	0.42	0.43	0.44	0.43	0.42	0.41	0.37	0.26	0.23	0.21	0.17
t279	0.08	0.21	0.59	0.63	0.57	0.51	0.51	0.51	0.54	0.50	0.51
t280	0.51	0.44	0.42	0.39	0.36	0.35	0.34	0.31	0.27	0.21	0.25
t281	0.31	0.33	0.32	0.33	0.32	0.29	0.27	0.26	0.24	0.17	0.20
t282	0.34	0.42	0.32	0.24	0.22	0.27	0.31	0.31	0.33	0.29	0.22
t283	0.16	0.17	0.17	0.18	0.16	0.14	0.13	0.12	0.11	0.10	0.08
t284	0.10	0.14	0.19	0.22	0.21	0.18	0.12	0.12	0.11	0.09	0.07
t285	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.04
t286	0.04	0.05	0.06	0.05	0.07	0.09	0.10	0.13	0.16	0.19	0.24
t287	0.24	0.23	0.22	0.19	0.12	0.10	0.06	0.05	0.06	0.07	0.06
t288	0.06	0.06	0.04	0.03	0.02	0.02	0.03	0.05	0.06	0.03	0.03
t289	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.05	0.07	0.09
t290	0.10	0.11	0.13	0.15	0.18	0.22	0.25	0.31	0.37	0.38	0.36
t291	0.29	0.27	0.26	0.24	0.22	0.21	0.22	0.25	0.20	0.22	0.26
t292	0.31	0.35	0.44	0.46	0.45	0.44	0.42	0.40	0.40	0.45	0.40
t293	0.16	0.06	0.06	0.06	0.07	0.05	0.04	0.03	0.03	0.02	0.02
t294	0.03	0.06	0.11	0.12	0.18	0.25	0.30	0.35	0.53	0.36	0.21
t295	0.26	0.21	0.14	0.19	0.28	0.33	0.30	0.27	0.22	0.18	0.17
t296	0.14	0.10	0.08	0.07	0.05	0.04	0.03	0.03	0.03	0.03	0.02
