    AT   ;    BALT;    BE ;    CH  ;    CZ ;    DE  ;    DK ;    ES   ;    FR  ;    HU  ;    IT  ;    LU  ;    NE  ;    NO  ;    PL   ;    SE  ;    SI  ;    UK   
7732.846465;2791.532306;9147.215913;6832.177828;7383.281282;58994.5396;3559.751926;27000.78421;51469.01837;4342.366611;28620.81501;881.1702141;11608.30956;15362.76666;16779.79695;16022.07662;1508.257854;35573.66399
7748.486721;2816.664139;9115.473371;6823.185895;7304.476495;58787.01479;3551.055638;26664.52712;51134.12909;4313.694069;28406.88769;882.3403262;11566.95461;15343.64679;16669.16287;16001.51414;1502.950364;34571.72409
7748.486721;3106.277968;9115.473371;6823.185895;7304.476495;58507.1514;3551.055638;26664.52712;51134.12909;4313.694069;28406.88769;889.820525;11566.95461;15347.91268;16635.34798;16006.10189;1504.594689;34290.25423
8529.497387;3788.316746;9604.56783;7110.61248;7723.167833;61789.90669;3731.384197;27332.53371;53684.13597;4517.53524;29545.61332;923.9917181;11967.73644;15634.6378;17799.16689;16064.45547;1576.884037;34328.69371
9780.439257;3893.317495;10799.91095;8020.627602;9145.420175;72886.74715;4501.161618;29483.78178;60499.13051;5328.50999;34460.63441;1033.843726;13700.98812;16890.05941;20195.52273;17759.98215;1894.268412;36287.18598
10533.30413;3832.922102;11998.63349;8744.523328;9827.37828;79442.20471;4887.165619;32397.09432;66477.34614;5825.822155;39906.70786;1130.545525;15354.10794;17443.21475;20670.15909;18492.88482;2095.375877;44487.31892
10557.49932;3782.108582;12690.42365;9082.944946;10043.5105;82028.31581;4941.748024;35116.7186;72308.22336;5989.405833;43179.65221;1168.224685;16321.86576;17110.09579;20816.7479;18400.46844;2138.924856;47719.17273
10549.48626;3789.292542;12788.82447;9181.701053;10123.19913;82888.77781;5002.012702;37557.71383;73364.43203;6043.739896;44872.53381;1180.203799;16573.73586;17023.86934;20751.66579;18169.12629;2153.882128;49050.72196
10478.88651;3785.65593;12797.33035;9196.007139;10071.25019;82975.95558;5016.924526;38000.55011;71966.60984;6074.249882;45453.63029;1184.817205;16656.08047;17159.47283;20876.89048;18250.99358;2143.448625;50093.72177
10439.10443;3789.995245;12773.77282;9186.307073;10031.30795;82754.16183;4990.292159;36758.06427;72018.9973;6068.014627;44784.00068;1179.433279;16666.11664;17107.27497;20900.36009;18231.88513;2146.148259;50554.37702
10428.52981;3786.453196;12719.04533;9176.043208;10016.27375;82670.21829;4979.279706;36180.26535;71847.84068;6068.014627;44205.88502;1176.170189;16626.40544;17034.20381;20933.40174;18167.54275;2138.507316;50394.7499
10421.92683;3792.941382;12706.32763;9147.300233;9999.799614;82381.01879;4963.271611;35818.3313;71394.38515;6057.876129;43911.71943;1174.171647;16615.96016;17022.9242;20929.78874;18161.63832;2104.524256;49913.57443
10421.92683;3792.941382;12675.84677;9150.501715;9999.799614;82126.2961;4963.271611;35669.92469;71205.14097;6065.920056;43642.76663;1172.4044;16615.96016;17022.9242;20917.90502;18161.63832;2104.524256;49812.6927
10432.50145;3791.581219;12664.28669;9147.300233;10009.94118;82050.71921;4976.142069;35464.10917;71329.47284;6032.565016;43642.76663;1174.171647;16640.61062;17095.99536;20917.90502;18185.75053;2097.49483;49268.92887
10478.80954;3835.619195;12664.28669;9167.037743;10030.63768;82664.67039;4989.960059;35425.66485;71329.47284;6037.388949;43983.60962;1176.091472;16640.61062;17178.13838;20904.4817;18236.28647;2102.591362;48864.16479
10661.31511;3835.619195;12860.61357;9208.585743;10051.19246;82650.44627;5005.011843;35800.69689;71898.94766;6116.908742;45212.92878;1177.96171;17006.86898;17170.54079;21070.48495;18280.78455;2175.805069;48864.16479
10661.31511;3825.241685;12860.61357;9208.585743;10078.57291;82754.03963;5013.019304;36291.78079;71898.94766;6123.471085;45546.86087;1177.96171;17004.89486;17170.54079;21118.06795;18282.40341;2182.107551;49196.2046
10666.75226;3760.740532;12834.5439;9110.011855;10057.66676;82754.03963;5010.252292;36538.67791;71223.39647;6129.712397;45795.76408;1181.072454;17004.89486;17197.78556;21098.87346;18281.281;2194.672092;49606.53588
10255.198;3671.531451;12450.5331;8822.318705;9764.587005;80590.83974;4880.25004;36504.34713;69077.54688;5986.405715;45183.4;1152.8551;16727.63077;17143.54416;21137.38845;18003.53934;2163.727866;49606.53588
9787.039158;3541.900217;11772.61827;8108.30707;8968.910326;74269.59149;4458.855207;36085.23868;66077.93638;5660.128157;41428.34735;1057.395541;15900.43446;17159.65711;21511.86888;17768.85547;2171.371101;48852.66996
9390.260019;3363.814859;11175.08191;7691.108612;8424.415478;69802.91377;4197.861231;34935.94572;62451.34871;5411.38364;38930.14657;993.3366696;15269.62687;16642.64689;20812.96078;17251.25546;2092.606652;46084.4474
8902.148557;2874.820582;10574.96239;7377.041801;7897.752025;65858.59395;3937.622648;33185.74111;59424.49142;4973.097425;35388.32705;939.1082193;14203.91983;16194.48209;19776.12609;16643.76254;1968.579517;43689.90904
8055.736169;2791.472796;9554.630351;6914.089847;7474.642454;61650.80188;3754.572917;29786.17327;53080.53618;4666.654084;31426.12269;884.6762737;12436.3046;16158.04868;18041.5632;16556.84833;1610.397468;40983.29096
7946.738258;2778.506412;9152.21776;6885.891729;7330.015439;59724.17384;3646.424402;28111.50791;51542.73306;4453.523025;29562.28509;861.6021893;11833.87165;15940.18539;17099.50847;16284.25072;1571.151506;37545.57014
7748.439;2790.051493;8891.108608;6723.843887;7286.5452;58650.3825;3580.353582;26997.60487;49643.61602;4368.885828;28638.00576;846.9407639;11445.25027;15896.83497;16810.2749;16048.68874;1540.032055;35247.64192
7851.686243;2810.592725;8845.777963;6688.266755;7302.269347;58422.93902;3571.657294;26652.42485;49284.81756;4346.994292;28302.28828;846.5898921;11404.30119;15877.71327;16701.20103;16028.12626;1537.743502;34088.56382
7868.188047;3130.184351;8845.777963;6617.255019;7358.209358;58322.24995;3575.855115;26652.42485;49284.81756;4344.078369;28302.28828;852.5024665;11356.67973;15712.8762;16701.99374;16032.71401;1537.743502;33913.36997
8544.687627;3788.820948;9293.884438;6754.604363;7793.552485;61226.40391;3760.862822;27320.43144;51262.64174;4553.158087;29399.99211;881.6741841;11755.40952;15945.29972;17753.03986;16423.96238;1617.575033;33857.15734
9767.184037;3893.317495;10299.86576;7344.166849;9204.197737;70789.70656;4533.039311;29388.29186;56443.35332;5351.90643;34842.4105;957.1892434;13080.25321;17129.97287;20195.52273;18134.70047;1913.242112;35618.44512
10566.84243;3832.922102;11702.04786;8334.384549;9846.467528;78126.62763;4918.927735;31958.95016;64382.78547;5792.683961;40432.42845;1078.674175;15089.23563;17616.36648;20687.14041;18662.64549;2109.376181;40927.58001
10736.51458;3782.108582;12301.46583;8702.518876;10068.45693;81202.07807;4982.299816;34103.53775;68629.47214;5976.605813;43330.71166;1147.390377;16039.52676;17190.99626;20830.69357;18440.06873;2160.760914;44771.40679
10700.45578;3789.292542;12548.6037;8790.286748;10123.19913;81930.08296;5030.321662;36154.84981;69417.55107;6072.267975;45382.7825;1154.159527;16534.02466;16949.96616;20739.08788;18231.59079;2178.324062;47782.10204
10652.66269;3785.65593;12603.94801;8712.418302;10167.70134;82216.53703;5060.911431;36718.60886;69562.52445;6071.842761;45614.16894;1161.420048;16595.99335;17037.56835;20881.21829;18309.89659;2169.126511;48934.85311
10605.36733;3789.995245;12580.60232;8719.556461;10107.33128;82178.71193;5065.315535;35770.70263;68597.83115;6068.014627;45385.04473;1161.6703;16531.64143;17020.95912;20923.22486;18297.29694;2140.654189;49441.19056
10516.39849;3792.941382;12510.67988;8908.676626;10066.68039;81979.43564;5030.302155;35408.74551;68130.43036;6042.081442;45015.07662;1152.998662;16531.64143;17025.36185;20908.00077;18284.25775;2105.864802;49141.76977
10496.9549;3792.941382;12456.73369;9027.620381;10068.53075;81927.01981;5017.374641;35376.63296;68223.30317;6038.184256;44755.83811;1152.25496;16542.25879;17014.49642;20924.56054;18298.44093;2099.427725;48977.35963
10518.32787;3792.941382;12456.73369;9049.686159;10068.53075;81927.01981;5009.783158;35206.2016;68342.73705;6038.184256;44755.83811;1152.25496;16521.19616;17014.49642;20924.56054;18298.44093;2092.602693;48909.35018
10509.79551;3798.629039;12445.17362;9077.891494;10068.53075;82050.71921;5010.783359;35120.87443;68487.89936;6032.565016;44755.83811;1151.182636;16462.22759;17014.49642;20924.56054;18298.44093;2093.372976;48995.61984
10478.80954;3837.578938;12443.97861;9081.130863;10079.6782;82050.71921;5020.361102;35120.87443;69299.73352;6066.184755;44832.26607;1151.182636;16383.36041;17038.75981;20956.52998;18309.73372;2097.45441;49114.84459
10620.75615;3837.578938;12478.76974;9114.165032;10041.84222;81753.27526;5013.019304;35166.13109;69896.11227;6108.864815;45459.05965;1156.878423;16662.26419;17031.16222;21122.53093;18354.22984;2129.555414;49223.74348
10620.75615;3825.241685;12592.51878;9123.460064;10041.97804;81856.86862;5013.019304;35674.35732;70082.62757;6129.712397;45532.80842;1156.589218;16660.29008;17031.16222;21118.06795;18334.64652;2136.071873;49721.35752
10531.15924;3760.740532;12566.44911;9080.948643;10031.29318;81856.86862;5002.660809;35862.71142;70342.93453;6129.712397;45550.96838;1153.815186;16660.29008;16999.84679;21098.87346;18300.86432;2136.071873;49715.43476
10219.58153;3671.531451;12279.73259;8802.43145;9761.11659;80203.32593;4880.25004;36037.64461;69083.0956;5986.405715;44771.99755;1132.909214;16434.60622;16981.40384;21137.38845;18023.12266;2127.802328;49715.43476
9739.808458;3541.900217;11760.88;8095.460549;8944.20503;73596.0391;4458.855207;35811.3229;66187.41337;5660.128157;41594.9408;1040.161037;15734.79227;16943.31918;21511.86888;17788.43682;2107.088461;49304.41185
9340.693543;3363.814859;11269.64599;7666.416879;8398.973974;69293.98978;4197.861231;34921.49065;62911.06667;5411.38364;39024.64134;985.9367477;14999.72674;16376.68377;20812.96078;17261.65346;2065.174639;46125.48783
8846.109437;2871.295041;10663.8592;7375.722509;7883.213882;64974.2051;3948.643636;33328.30034;60491.53863;4973.097425;35206.09759;939.1082193;13948.7655;15865.7914;19795.32746;16689.33594;1910.429341;43371.02984
7903.938451;2791.87469;9587.784102;6852.627079;7432.5467;61355.39867;3777.566571;29786.17327;53991.33065;4666.654084;31200.49164;892.258538;12499.12155;15888.4893;17805.34015;16608.50276;1598.593208;40885.38035
7780.694976;2775.476921;9239.923923;6873.657721;7247.987773;59505.45547;3680.352726;28111.50791;52429.95772;4451.341836;29622.21872;876.3726156;11853.71021;15749.91719;16900.16001;16323.60868;1553.581067;37781.06557
7569.418615;2793.080984;9029.376547;6814.066317;7149.690201;58346.85296;3609.329668;26997.60487;50276.06494;4353.125364;28636.8569;868.3030839;11470.17591;15725.40018;16512.91151;16178.72549;1518.853248;35347.60309
7585.058872;2813.622216;8996.152391;6817.45453;7124.618277;58139.32815;3600.63338;26652.42485;49993.56661;4337.136847;28330.89664;872.3472125;11428.82096;15732.56352;16311.2949;16158.16301;1525.091244;34147.32626
7585.058872;3133.213842;8996.152391;6823.185895;7124.618277;58139.32815;3607.358525;26652.42485;49993.56661;4337.136847;28346.90083;875.3095971;11482.38506;15736.82941;16321.20946;16162.75077;1525.091244;34152.27732
8359.796502;3788.316746;9478.409497;7072.5208;7528.988988;61226.40391;3809.860242;27320.43144;51971.39079;4546.789574;29467.10943;906.891066;11847.17501;15954.38435;17133.50206;16506.94619;1608.498431;34131.94462
9582.213377;3892.023364;10542.92888;8016.180348;8749.429738;70789.70656;4566.019615;29355.55267;56800.28005;5347.322967;34460.63441;998.0578056;13391.28912;17129.97287;19368.15955;18119.25359;1911.450273;36009.52256
10311.32538;3827.69218;11868.35742;8732.698864;9573.535076;77951.92992;4918.927735;31926.21098;64382.78547;5841.495699;39906.70786;1106.664626;15262.45934;17594.34003;20389.86408;18619.34438;2111.225734;41891.79642
10539.00092;3782.108582;12508.82942;9054.86049;9914.216397;81027.38035;5008.173376;33985.83662;67134.16604;6015.835706;43179.65221;1160.137352;16178.82036;17323.62385;20691.30556;18415.71517;2158.474653;45240.86337
10549.48626;3789.698512;12666.02874;9120.936044;9988.6935;82129.35926;5037.490827;35412.39003;67673.74915;6043.739896;44764.03094;1160.601097;16534.02466;17172.43107;20731.80689;18231.59079;2164.040188;48467.16946
10455.69706;3787.462823;12634.48495;9102.955786;9951.321093;82216.53703;5052.552851;36134.84339;67584.50785;6061.516491;45337.45801;1152.748411;16616.36927;17159.47283;20969.37594;18309.89659;2159.746025;49238.87184
10419.30575;3780.686464;12627.6476;9041.815511;9922.675901;81979.43564;5041.875911;35456.75477;67582.65361;6027.264988;44996.91666;1152.998662;16626.40544;17160.33769;20988.41464;18296.85151;2140.654189;49441.19056
10404.69176;3778.440585;12510.67988;9012.822661;9922.675901;81979.43564;5021.512479;35368.14061;66043.58051;5984.555248;44709.78616;1150.171229;16626.40544;17160.33769;20973.19056;18284.25775;2105.864802;48921.66816
10365.71017;3775.383989;12276.84164;8902.248404;9895.130101;81927.01981;5009.783158;35376.63296;65950.58176;5939.771531;44265.13776;1137.561921;16595.58424;17022.9242;20848.34618;18298.44093;2099.427725;48529.30485
10365.71017;3775.383989;12050.62455;8868.472725;9916.34333;81927.01981;5009.783158;35206.2016;65950.58176;5939.771531;44177.72245;1123.666796;16595.58424;17022.9242;20994.44929;18298.44093;2099.427725;48358.22674
10421.92683;3781.114445;12000.38053;8822.927609;9907.212577;81851.44292;5017.374641;35175.49228;65885.66945;5975.038822;44177.72245;1115.568829;16419.6575;17022.9242;20973.19514;18298.44093;2097.49483;48939.92837
10463.119;3802.451925;12003.58799;8781.229865;9931.287962;81851.44292;5027.952585;35238.45254;65933.64872;6022.572495;44265.13776;1115.568829;16268.72376;17051.39144;20968.64968;18329.71537;2097.49483;49483.19539
10620.75615;3806.381601;12083.32596;8781.337212;9962.86716;81372.77575;5029.400463;35407.66522;66459.77636;6080.069009;45200.42884;1108.515098;16290.63708;17170.54079;21039.67021;18373.76606;2129.555414;49706.37528
10637.30671;3797.987884;12128.55443;8764.934692;10006.11742;81595.03387;5042.110478;35862.71142;67771.89779;6128.121783;45546.86087;1110.412383;16192.61482;17170.54079;21055.28377;18373.76606;2136.071873;50272.87549
10545.85226;3746.827088;12262.67721;8731.318682;10016.25899;81856.86862;5031.751984;36058.82359;67792.09149;6132.54776;45696.5896;1114.429464;16192.61482;17132.50357;21055.28377;18315.66562;2136.071873;50266.95273
10207.9673;3657.618414;12150.74748;8598.159048;9735.396547;80203.32593;4910.549161;36316.88494;67058.76505;5974.813495;45183.4;1110.492718;16089.28712;17115.52394;21136.19481;18025.38514;2100.643883;50386.09468
9739.808458;3518.839402;11718.50262;8097.553374;8949.411636;73596.0391;4472.60395;36009.02282;65813.3122;5660.128157;41399.03592;1034.852013;15500.98792;17115.19734;21510.67524;17790.6993;2035.139459;49410.52957
9340.693543;3327.804779;11269.64599;7596.415473;8415.386101;69293.98978;4209.516427;35006.31036;62223.83727;5405.577838;38930.14657;978.8463744;14738.81078;16548.56193;20857.31568;17280.46561;1952.651527;45876.35691
8847.610861;2877.848239;10684.17812;7228.693847;7900.775105;64974.2051;3948.643636;33185.74111;59511.27673;4984.990989;35388.32705;924.3722386;13948.7655;16085.97375;19802.09295;16704.40018;1808.89166;43423.70635
7947.730655;2785.552806;9574.184161;6688.012368;7433.195311;61355.39867;3777.581932;29786.17327;53537.09494;4661.572115;31214.04064;881.5815392;12499.12155;15995.49965;17681.52675;16676.53222;1589.241475;41164.4027
7780.694976;2781.933517;9213.007529;6637.455296;7247.987773;59593.00799;3686.613615;28111.50791;51807.09135;4442.359047;29562.28509;865.1784117;11853.71021;15963.34856;16776.34661;16390.44214;1551.88632;37956.33004
7552.454479;2791.532306;8971.885206;6505.052507;7149.690201;58548.01114;3616.054813;26997.60487;49643.61602;4342.366611;28578.0189;859.4933173;11470.17591;15896.83497;16399.01267;16178.72549;1507.79583;35585.56796
7568.094735;2812.073538;8940.142664;6490.329209;7124.618277;58340.48632;3607.358525;26652.42485;49284.81756;4313.694069;28346.90083;860.6634295;11482.38506;15855.71054;16321.20946;16158.16301;1502.488341;34618.86263
7569.886078;3085.358075;8926.010638;6490.329209;7124.618277;58233.34915;3607.358525;26652.42485;49549.17585;4313.694069;28346.90083;859.3360578;11442.29884;15859.97644;16321.20946;16137.55834;1502.488341;34328.69371
8329.352394;3748.118367;9396.003622;6693.876339;7529.637599;61320.42491;3809.860242;27320.43144;51797.2499;4512.754919;29404.05969;889.3542949;11926.80522;16127.49046;17133.50206;16481.75279;1568.128507;34328.69371
9458.64509;3896.784138;10329.43386;7363.997725;8749.429738;70553.54204;4566.019615;29457.878;56713.60319;5194.088576;34315.85377;972.7796613;13572.09352;17232.48378;19368.15955;18119.25359;1800.889849;36114.52976
10169.41469;3816.540229;11708.35687;8422.124456;9572.887449;77444.95298;4936.588527;32279.43163;64382.78547;5737.229926;39670.98326;1087.559999;15297.68819;17710.82913;20389.86408;18619.34438;1996.218841;42837.63571
10515.30142;3784.063435;12404.06352;8924.927596;9903.427207;80651.31265;5008.173376;34825.24914;68629.47214;5975.418001;42650.76449;1144.88197;16258.55122;17455.62014;20701.22126;18415.71517;2090.344768;46233.04241
10499.51235;3786.877916;12595.64774;9021.639591;9919.171039;81930.08296;5037.490827;37051.32139;69504.23142;5999.162729;44764.03094;1154.159527;16573.73586;17274.95293;20786.55174;18231.59079;2097.057288;48677.47124
10364.19232;3783.39497;12618.31804;9005.684502;9927.245707;82017.26074;5068.080596;36966.50169;69765.00718;6008.783944;45449.99298;1149.920977;16616.36927;17307.53097;20969.37594;18329.5839;2084.116877;49948.60443
10300.91086;3784.754317;12580.60232;8916.443534;9901.462673;81979.43564;5065.315535;36104.04949;69208.12019;5900.127932;45385.04473;1150.171229;16626.40544;17256.0885;20947.01521;18292.11658;2066.706245;50329.02481
10204.57858;3787.700454;12510.67988;8882.667856;9857.059871;81877.18648;5056.956955;35663.77359;68268.32265;5809.272138;44899.85802;1150.171229;16626.40544;17217.34516;20945.61766;18279.07739;2052.416954;50102.36725
10204.43593;3786.507815;12456.73369;8861.678259;9813.568471;81665.18505;5046.076659;35669.92469;67704.21463;5793.438079;44986.91404;1147.976763;16521.19616;17149.05807;21022.82634;18293.26058;2051.076408;49913.57443
10204.43593;3792.941382;12454.49071;8861.678259;9791.563917;81665.18505;5037.738073;35504.38344;67591.87582;5793.438079;45001.96898;1149.427526;16521.19616;17149.05807;21022.82634;18293.26058;2038.935449;49931.83465
10176.41688;3798.629039;12443.97861;8829.529933;9782.433164;81749.19376;5052.819116;35504.38344;68020.49856;5799.755712;44874.07745;1146.904439;16506.13541;17206.06555;20945.62225;18293.26058;2037.002555;49931.83465
10284.78723;3836.233449;12533.16576;8879.584546;9804.437718;81851.44292;5077.880714;35631.4227;68487.89936;5893.2064;45045.18205;1148.355203;16506.13541;17325.90642;20927.25025;18345.51742;2031.000936;50120.62746
10465.53379;3833.358235;12709.4865;8905.520248;9828.169605;81753.27526;5077.70808;36064.22502;69896.11227;5959.268969;45589.62593;1146.962349;16946.78186;17342.05951;21011.76053;18390.01354;2053.994814;50405.66998
10490.63723;3818.53788;12844.97376;8956.138661;9840.685144;82056.14491;5077.70808;36614.89378;70494.87005;6045.472854;45795.76408;1149.789783;16965.18366;17351.99987;21004.39936;18397.73698;2055.414742;51130.95469
10497.10474;3746.827088;12834.5439;8956.579779;9874.301709;82056.14491;5067.349586;37508.73961;70987.20859;6045.472854;45795.76408;1148.463741;16965.18366;17323.31003;21027.3741;18346.76149;2055.414742;51693.57296
10123.6187;3657.618414;12496.65377;8777.209294;9688.579415;80405.45356;4915.499449;37828.05813;70165.91432;5957.778904;44947.1165;1124.658206;16687.92119;17348.66452;21059.73759;18149.75686;2047.874434;51608.15567
9641.708953;3520.042639;12009.67021;8042.124168;8885.596756;73742.01971;4484.248417;36980.93753;67550.17997;5715.726958;41636.72556;1033.769864;15962.95189;17333.23762;21437.03832;18008.87472;1980.591297;50297.46761
9229.118172;3327.804779;11634.99644;7616.174633;8367.727448;69802.91377;4226.752463;34877.46806;65499.00845;5455.833001;38855.32435;977.7335946;15419.06216;16766.60221;20747.60145;17498.64102;1871.072432;46092.24537
8846.109437;2856.561301;11080.25366;7283.907005;7807.378534;65858.59395;3979.832745;32988.93695;62390.45275;5022.231101;35412.41761;937.7878986;14551.76503;16276.85318;19621.70873;16964.79746;1749.462612;43527.10136
7910.01547;2762.070124;9471.471832;6603.988129;7080.391161;58792.38753;3623.311758;29289.34579;54142.37054;4658.936336;29715.4249;868.5524104;12187.25362;15995.41754;17367.82582;16384.66624;1552.843496;41376.18517
7790.805211;2739.273434;9157.715556;6530.536267;6941.494366;56983.34481;3520.646793;27665.5711;53030.12541;4467.390925;28270.20672;848.284318;11619.33927;15784.75956;16575.61894;16150.12365;1512.824439;37166.89835
7597.191359;2738.795727;8942.531439;6415.957225;6833.612308;55913.17467;3476.296333;26355.75771;50784.4129;4304.339066;26678.46021;838.4386386;11227.5887;15785.35072;16066.66367;16037.9552;1459.982378;35326.22807
7511.110426;2752.58954;8957.33449;6357.969269;6788.938349;55359.91229;3477.057822;25964.17924;50060.20021;4230.938836;25952.89802;841.6771087;11121.87371;15788.86853;15817.22922;16070.59831;1437.418021;34375.0091
7511.110426;2828.961651;8957.33449;6428.095614;6788.938349;55359.91229;3483.027087;26308.4539;50060.20021;4217.867455;25926.889;843.3954038;11121.87371;15793.13442;15814.45475;16087.22058;1437.418021;33765.29369
7712.055905;2993.448844;9145.532431;6441.078349;6827.981004;55734.84761;3514.481243;26576.50885;50211.63893;4262.736578;26319.52823;849.0579005;11227.69179;15749.59607;16024.39707;16100.79743;1442.037319;33765.29369
8062.271415;3206.447428;9143.81032;6522.005747;7004.439673;57012.81547;3650.633439;26918.99392;51695.85809;4366.573199;27282.47843;846.0073212;11793.49971;15304.69454;16726.79903;15941.3651;1488.797337;34217.86603
8466.73932;3371.838679;9309.311162;6689.054721;7484.704786;61575.41237;3945.493319;27182.68928;51777.0702;4609.588235;29131.04374;860.5020666;12460.36088;15421.89978;17665.18234;16514.14964;1589.196471;36195.41975
