"AT"	"Balt"	"BE"	"DE"	"DK"	"Es"	"Fr"	"Nl"	"No"	"Se"	"Uk"
0.032156866	0.025735097	0.020056525	0.017531194	0.013721118	0.0127921635	0.015027347	0.018563986	0.019155007	0.01918637	0.021350333
0.0241076	0.025937857	0.022219129	0.028873684	0.03578232	0.045630887	0.0512542	0.05394587	0.05581627	0.0542929	0.055052582
0.05342811	0.053874742	0.058851667	0.07103922	0.11493325	0.17510477	0.21001057	0.26058644	0.3267626	0.3418736	0.32293782
0.28588536	0.2346224	0.1747613	0.12965515	0.08355266	0.05000198	0.030687908	0.019157592	0.015162214	0.021407142	0.04561631
0.11830557	0.19066978	0.2597675	0.33584836	0.36751574	0.3330946	0.26568267	0.1842221	0.12643263	0.10263888	0.08873128
0.092676654	0.12162431	0.18942137	0.25936523	0.28766856	0.28324497	0.17562604	0.12281398	0.15856297	0.15772778	0.1433115
0.155999	0.16779755	0.19745465	0.2250027	0.2392534	0.24491955	0.21955253	0.16287342	0.21014877	0.2414439	0.26209182
0.2868813	0.3053986	0.30781513	0.28058675	0.2820006	0.32514402	0.3660986	0.38851124	0.42718098	0.3814282	0.37217402
0.36661175	0.39809045	0.41689503	0.44699952	0.47476906	0.48297647	0.4471723	0.3642449	0.28486893	0.21018484	0.15933552
0.13000442	0.10318335	0.083240286	0.07409156	0.06712947	0.057621352	0.04699763	0.04058367	0.036659002	0.027287453	0.03399961
0.03508239	0.03443434	0.030454444	0.025270099	0.025516666	0.02682334	0.02620675	0.025104018	0.022941794	0.020138294	0.019664163
0.02020937	0.022371762	0.019472968	0.018840866	0.019575782	0.017831232	0.017004848	0.019358698	0.025330069	0.038967486	0.045870826
0.04084251	0.053420328	0.05690353	0.06578063	0.07892948	0.10298793	0.117697485	0.14989762	0.16215852	0.18197154	0.17541191
0.17429143	0.1757045	0.14239006	0.13545392	0.13288586	0.1267921	0.1167699	0.08886373	0.103144534	0.1270634	0.14043415
0.13071297	0.10824053	0.10053181	0.06837754	0.08674421	0.061099704	0.03880012	0.024765143	0.016633812	0.012062022	0.012819229
0.019886268	0.034366556	0.053615104	0.06166348	0.04838522	0.04687406	0.05498435	0.058728896	0.044828273	0.033788987	0.02808817
0.025337638	0.025657577	0.02924414	0.035351492	0.046270378	0.068539344	0.11725191	0.18104649	0.27604797	0.34927872	0.36856467
0.3311381	0.29634923	0.2391743	0.19986606	0.1639155	0.11049516	0.048680585	0.019631917	0.017850628	0.038810156	0.08041183
0.11852931	0.13794522	0.14222339	0.19193865	0.22483046	0.23648708	0.24693118	0.20120944	0.1777114	0.18625319	0.23470508
0.26497108	0.27636895	0.30001917	0.31917927	0.3372901	0.321532	0.31281272	0.29081857	0.23315455	0.23600787	0.23126505
0.2341984	0.24032602	0.2562739	0.2784555	0.29440516	0.29252535	0.27667078	0.26336953	0.261353	0.20550942	0.258125
0.33677915	0.37611955	0.38121364	0.39813906	0.42951325	0.4338906	0.42587847	0.4457644	0.47330412	0.5119206	0.52735466
0.5805603	0.60398924	0.60382044	0.6076392	0.6444451	0.6695416	0.69462305	0.7189472	0.7401238	0.74413323	0.71308
0.7517999	0.76942295	0.75627786	0.71700346	0.7242462	0.7241514	0.69019246	0.6489637	0.6383409	0.63044053	0.61172944
0.5959056	0.5687137	0.53253	0.4849056	0.45962018	0.43042582	0.38117954	0.30058494	0.23099522	0.20720035	0.18717661
0.14823066	0.10404086	0.055285983	0.04355547	0.036478322	0.027922178	0.024430167	0.025611604	0.026194522	0.026854139	0.0306033
0.039111376	0.04364923	0.04560489	0.04472973	0.05116079	0.0383043	0.034530245	0.035288595	0.034932062	0.03851047	0.04175782
0.043843552	0.04708089	0.056991912	0.06930442	0.04494042	0.046211507	0.04193039	0.036918864	0.042912673	0.05459124	0.060543746
0.07015043	0.08294701	0.08758833	0.080204785	0.066245325	0.054053523	0.0488229	0.04627602	0.040459562	0.034122538	0.027603818
0.024629071	0.023762409	0.023465909	0.0244093	0.043433953	0.07031249	0.079165235	0.0717964	0.071310155	0.09702619	0.12729031
0.12765789	0.12814012	0.13713697	0.19442056	0.27505973	0.32494304	0.37867558	0.3531751	0.37651262	0.37250847	0.3562556
0.37624824	0.39564773	0.40988213	0.40350696	0.37038884	0.34979615	0.32118076	0.32300264	0.19422479	0.17161816	0.18821657
0.17793883	0.17540683	0.15620597	0.13677788	0.12203508	0.12227328	0.12322384	0.12193425	0.10234974	0.09973993	0.085653804
0.07602753	0.06535991	0.0569874	0.05458472	0.04793483	0.040290765	0.036162402	0.028939603	0.02092151	0.015676463	0.012946935
0.013608321	0.014411333	0.017525328	0.018705355	0.024748422	0.03077175	0.028648978	0.027393064	0.025258096	0.022704283	0.025434079
0.02686898	0.027529076	0.024867998	0.02189539	0.028800732	0.036821228	0.038453642	0.03715982	0.033157248	0.0366836	0.038742416
0.039799675	0.044207692	0.053351924	0.069186874	0.10244369	0.145666	0.17011312	0.21657339	0.26848158	0.31680104	0.40607733
0.46323454	0.4907234	0.49624145	0.566951	0.6055219	0.61971325	0.6466902	0.6771515	0.6683693	0.6362365	0.613129
0.6351855	0.6462882	0.64486766	0.61596423	0.6783183	0.6712646	0.69327885	0.63740796	0.6059384	0.58618027	0.55800873
0.51280916	0.4574628	0.4077618	0.3678923	0.34580344	0.34109432	0.29754385	0.28068727	0.27621117	0.24364555	0.19690734
0.15861422	0.13837881	0.12697311	0.09937361	0.07599159	0.048927136	0.037099432	0.039832436	0.039592355	0.030789096	0.029171968
0.02885717	0.026863182	0.021472475	0.02045638	0.02182036	0.024248863	0.028131716	0.0313752	0.033223074	0.042492244	0.047465056
0.04428145	0.042314116	0.040414415	0.0313712	0.02994233	0.031237993	0.033924125	0.036861323	0.027674697	0.02316932	0.023172265
0.026924016	0.03697119	0.06714232	0.10779115	0.11548018	0.108004734	0.08866608	0.07673745	0.04290866	0.030380502	0.027095767
0.023622863	0.019404545	0.019976936	0.027104096	0.028658304	0.02677549	0.024130726	0.020467356	0.021311551	0.01912317	0.02671272
0.039790444	0.061301835	0.079795696	0.08894684	0.089052014	0.07063239	0.06417915	0.071475156	0.097889245	0.10869593	0.109656155
0.11731241	0.112958394	0.0894836	0.06828028	0.06526996	0.08407308	0.1168056	0.16658217	0.22521931	0.26143184	0.31672785
0.28050053	0.24187894	0.25986028	0.27447465	0.2702541	0.21947895	0.21726753	0.26608914	0.3145653	0.3154608	0.36113667
0.38768125	0.4941819	0.5201191	0.51965654	0.5582156	0.5516097	0.47653896	0.40869835	0.38780072	0.4093623	0.44905528
0.48004025	0.5057647	0.21850567	0.19487336	0.2154417	0.20816493	0.2599153	0.25728187	0.2420317	0.25496504	0.27765775
0.2790479	0.30265847	0.4441573	0.57063663	0.7577764	0.06584547	0.07092418	0.071537435	0.075605914	0.07818333	0.087301575
0.1012091	0.11601676	0.12705122	0.1551176	0.15718286	0.18420771	0.20029354	0.17512873	0.14320152	0.12885582	0.0914491
0.074794605	0.05653618	0.03887057	0.029825982	0.027667152	0.019452777	0.016094565	0.012338959	0.014335972	0.01426084	0.014245442
0.01462331	0.0152668655	0.015534237	0.018299172	0.020137364	0.01984974	0.021384884	0.019752204	0.017980972	0.01615029	0.01458272
0.014439404	0.018021092	0.020813929	0.02282331	0.02415834	0.02983721	0.038759653	0.04602546	0.051459827	0.06368888	0.07625643
0.0936481	0.122083105	0.11898275	0.11222349	0.14295729	0.17829609	0.1530962	0.11694223	0.091006145	0.07297767	0.05444803
0.04970206	0.05282397	0.05667032	0.05361639	0.048184823	0.04248769	0.04092815	0.040651232	0.036759473	0.031239148	0.029038174
0.026803777	0.025290484	0.023878556	0.022825217	0.021950725	0.02147997	0.021887321	0.023802137	0.024122797	0.025211722	0.023364369
0.025961237	0.02940736	0.034564007	0.05833398	0.0892124	0.11737306	0.15921485	0.24230845	0.28832847	0.35656264	0.43212184
0.4337005	0.43740702	0.34551775	0.24402355	0.17281803	0.1282199	0.11335002	0.115977354	0.13591398	0.23160651	0.36217326
0.44933483	0.46581048	0.4794791	0.48015597	0.4400194	0.3698793	0.34367082	0.31232303	0.25116873	0.21777989	0.21223854
0.19131276	0.16456808	0.14398104	0.10120833	0.083811164	0.077868216	0.06615254	0.054318152	0.04848122	0.05273488	0.06941516
0.08581491	0.09896911	0.11016195	0.11741412	0.1126488	0.11646018	0.11484529	0.10915197	0.11324422	0.124430194	0.11372219
0.10856893	0.108367436	0.10438559	0.09916735	0.09136633	0.08508671	0.08393647	0.093310796	0.12345073	0.21737207	0.32361174
0.39529786	0.36849922	0.3553986	0.40445176	0.35664028	0.25230825	0.12220465	0.13237458	0.13874625	0.13202098	0.20416409
0.4278196	0.5393252	0.56229395	0.5488039	0.51556396	0.50219494	0.53412366	0.515013	0.48261994	0.46799487	0.50044346
0.56134385	0.53748983	0.510352	0.47328505	0.4481164	0.432089	0.4028736	0.18654639	0.20207989	0.19629064	0.17205779
0.16634375	0.5252338	0.80696195	0.8208558	0.847939	0.8257552	0.81470376	0.7820011	0.67885995	0.51021075	0.36242157
0.2615399	0.24620183	0.28808868	0.32473016	0.32155433	0.31115815	0.25936463	0.16812381	0.10578368	0.2342752	0.21192047
0.22851245	0.31157658	0.4169293	0.51796854	0.60771626	0.6209116	0.5549474	0.4481302	0.33707914	0.30006993	0.26810393
0.18928102	0.16135357	0.14836982	0.13041008	0.13720536	0.2609941	0.5698073	0.6811129	0.67476857	0.61889786	0.51648676
0.6847424	0.5685358	0.5810678	0.4886364	0.4615317	0.5322756	0.6249477	0.678337	0.7254393	0.7792457	0.8255508
0.85208076	0.82574344	0.8538505	0.86826074	0.88066435	0.89034843	0.8942618	0.89366573	0.8949286	0.89934707	0.89794534
0.88752216	0.91314155	0.9135699	0.91214985	0.90488577	0.9073202	0.905053	0.88856596	0.88075507	0.87531364	0.8660006
0.85727835	0.8537289	0.8409021	0.78296286	0.7810961	0.77491814	0.7583669	0.72960764	0.711398	0.69532746	0.6800537
0.6484133	0.5957575	0.6249296	0.68162507	0.69281447	0.7409895	0.74803096	0.72841716	0.7183709	0.6784375	0.66563576
0.6688649	0.68286043	0.68383247	0.67765075	0.6723959	0.6259615	0.6642539	0.69667494	0.72347295	0.7134914	0.69614744
0.7084227	0.68312865	0.6355147	0.63618416	0.73378325	0.7204509	0.71113163	0.7296549	0.75520015	0.7917211	0.7937203
0.7659095	0.7642958	0.73965335	0.6944023	0.64589566	0.6058454	0.5992049	0.61914134	0.60754585	0.58114207	0.5751659
0.57121986	0.5667147	0.5556113	0.54042166	0.5423412	0.5254219	0.5457216	0.50492746	0.3769532	0.3924169	0.40064198
0.4307271	0.48277447	0.45509204	0.42062804	0.41548628	0.38899946	0.3424767	0.28687882	0.23811479	0.19155307	0.20565043
0.18969066	0.17428604	0.16405576	0.14107963	0.12567677	0.10621482	0.102659605	0.08644353	0.06777543	0.057713337	0.05523922
0.06624023	0.07131925	0.08120861	0.08695405	0.082085274	0.074592896	0.07670886	0.07858713	0.07654063	0.074629396	0.0678059
0.0558337	0.051731262	0.054438885	0.052749127	0.056662377	0.06817	0.0722747	0.067803025	0.06814778	0.06670207	0.06591727
0.06255144	0.05916306	0.06438798	0.07081343	0.07650493	0.07466285	0.07762095	0.07140826	0.060375538	0.055388514	0.0550873
0.059810013	0.05560936	0.042174585	0.047552947	0.05244983	0.047417272	0.04413778	0.04308434	0.04700257	0.05245059	0.0500539
0.04627564	0.042547002	0.034727264	0.026259871	0.024545692	0.02362353	0.023712473	0.02657066	0.028927738	0.032465395	0.037271928
0.03994869	0.042429265	0.04161525	0.0431568	0.04945488	0.049268544	0.044360608	0.039814405	0.036654618	0.04079709	0.044837933
0.043217435	0.039638445	0.03328757	0.027051892	0.01944892	0.013254602	0.01209735	0.017205913	0.021451052	0.022547498	0.024307942
0.029981926	0.038921706	0.04356761	0.040435154	0.035607208	0.031873077	0.02982713	0.03202551	0.03243287	0.03239806	0.032901652
0.032303024	0.034931447	0.04241484	0.048080232	0.04454986	0.02810442	0.023877189	0.026272703	0.031703867	0.03464659	0.039885204
0.046600185	0.048296932	0.04215069	0.04810444	0.05724208	0.062003747	0.06773474	0.066861495	0.06888514	0.066362366	0.061250705
0.05623208	0.054688133	0.054470703	0.06438178	0.06888612	0.070219554	0.06958536	0.053004142	0.050930228	0.06242814	0.07728948
0.090458825	0.095316686	0.09485997	0.09379576	0.090453826	0.097593255	0.09761365	0.08748559	0.084624216	0.0854082	0.109893896
0.11732893	0.12210019	0.11557362	0.099379905	0.09930759	0.10594955	0.11624875	0.13002829	0.15113154	0.21137425	0.21295212
0.19688438	0.1922317	0.21315667	0.20747246	0.19543402	0.14911208	0.1252049	0.12203949	0.1178783	0.11561216	0.11579671
0.11397746	0.10339289	0.09262069	0.08368824	0.07510086	0.06215568	0.05701442	0.052753866	0.05437157	0.050417453	0.0446449
0.0395091	0.05507729	0.06609096	0.06887915	0.07260823	0.0812631	0.09466567	0.107508674	0.114433184	0.13861498	0.17726697
0.19898859	0.22619939	0.26759765	0.2898801	0.31959614	0.36200133	0.41564354	0.4491537	0.487679	0.5295893	0.54337347
0.5340927	0.4881592	0.51032865	0.5063569	0.48155752	0.44142509	0.412868	0.36851937	0.35042822	0.3305867	0.27223042
0.2596576	0.25458476	0.23167734	0.21614574	0.21241388	0.19916078	0.19266523	0.1822271	0.18447243	0.17496315	0.16239169
0.14724177	0.15270981	0.16823007	0.19195665	0.20331702	0.17918609	0.1697378	0.1646879	0.17030936	0.15465188	0.12507717
0.12194207	0.13406748	0.135741	0.14010128	0.17208035	0.197676	0.21094735	0.14615878	0.15524359	0.16788967	0.17273235
0.16721252	0.14944167	0.10769585	0.07633622	0.06533998	0.052267186	0.03683748	0.027714288	0.021613887	0.029871564	0.04215913
0.05335714	0.059383526	0.049355004	0.040501993	0.040890347	0.03854775	0.042063557	0.06182132	0.08164952	0.11981201	0.1292196
0.15598117	0.19647601	0.24194786	0.2972782	0.33118266	0.35879278	0.35709152	0.3783217	0.3859292	0.38633695	0.34908065
0.38423452	0.3848093	0.42177752	0.4459097	0.4791092	0.49948606	0.47410843	0.41704646	0.40813196	0.3838962	0.37287968
0.3329179	0.33908457	0.37253633	0.36411995	0.38657898	0.40547943	0.4112415	0.43832785	0.47034386	0.48675478	0.48416764
0.49468532	0.46827385	0.48215201	0.5226926	0.52020884	0.57177097	0.5357851	0.5683614	0.63638705	0.6778959	0.68121564
0.66986084	0.6710314	0.6032537	0.5570115	0.53738415	0.53756475	0.532223	0.5110491	0.48660696	0.4707116	0.45098272
0.41570172	0.381503	0.46468815	0.45524144	0.40835297	0.39277053	0.31277037	0.23451073	0.17332724	0.18575327	0.25150508
0.29907894	0.31984392	0.32262275	0.31954	0.28999218	0.25105178	0.22656018	0.1598845	0.09788752	0.060063235	0.04523957
0.04119059	0.034113437	0.02840861	0.025190812	0.020495864	0.02102228	0.024973957	0.03264201	0.03905254	0.045107692	0.043552555
0.045961864	0.04279141	0.038580474	0.035696983	0.031930633	0.029792218	0.029946828	0.035533417	0.035274092	0.0355257	0.03773132
0.043087903	0.05157106	0.06018091	0.06475698	0.062217332	0.055976782	0.06464067	0.080219336	0.09412978	0.12213603	0.15353774
0.17716862	0.16116583	0.15172848	0.16086288	0.17056349	0.17975211	0.1886161	0.2073706	0.24958119	0.3106662	0.13677765
0.11123218	0.08992497	0.06919142	0.07064269	0.075801134	0.07555715	0.064991765	0.0398244	0.03795948	0.03743946	0.048536494
0.060206283	0.06353591	0.05407653	0.047927473	0.03233963	0.03711376	0.064628355	0.08137926	0.113693826	0.20917936	0.18667486
0.24479283	0.32289466	0.32251534	0.30342144	0.27594316	0.23143692	0.17550315	0.12320623	0.08282759	0.056740116	0.057328228
0.04982418	0.057753086	0.060879257	0.06001977	0.06146795	0.049767256	0.040226273	0.048898123	0.065245196	0.06860554	0.06406541
0.061604157	0.047756534	0.050225973	0.064814515	0.06313847	0.066360734	0.06971563	0.079231344	0.08564215	0.08563725	0.0769572
0.058121383	0.056148607	0.043649368	0.046194438	0.057137728	0.07559283	0.08986162	0.094024606	0.096101314	0.1279759	0.18822518
0.24866517	0.28472883	0.29399407	0.31209534	0.3237097	0.33058542	0.42120957	0.50452304	0.5445578	0.5630637	0.5709671
0.5451044	0.5091924	0.5184547	0.6182751	0.65365183	0.69487315	0.69780374	0.7032776	0.67925024	0.6380138	0.48975456
0.4309662	0.3998499	0.37846422	0.34999117	0.32962653	0.32557288	0.2590655	0.20462538	0.16853838	0.13690454	0.07940963
0.046101782	0.025806291	0.017919095	0.024799168	0.03680247	0.049358662	0.049545374	0.06742304	0.07927961	0.07316388	0.060822215
0.048262678	0.054746564	0.08966583	0.119437784	0.14977011	0.18078673	0.19628969	0.1385236	0.14773947	0.17259538	0.19261584
0.20818537	0.24028257	0.25559974	0.25136727	0.23667887	0.23076308	0.22129725	0.18177038	0.11094127	0.10912007	0.12095577
0.14222008	0.15894988	0.13856412	0.11392325	0.10794167	0.10983067	0.104955345	0.08737925	0.063025706	0.035675373	0.031932086
0.036039475	0.044583376	0.04990509	0.051967006	0.056151655	0.06248081	0.06292852	0.042392086	0.043074824	0.049983747	0.035954487
0.042607106	0.05301018	0.06453305	0.07753254	0.082547314	0.07786873	0.06946352	0.077631645	0.0953261	0.113860585	0.11692735
0.10490144	0.092712305	0.094968066	0.1041832	0.11004289	0.12783262	0.14113235	0.16078801	0.17281924	0.14019063	0.12825817
0.11889971	0.07949835	0.091916904	0.10534096	0.12495026	0.14369614	0.1547171	0.14544243	0.23589975	0.32473898	0.32630503
0.3033535	0.2690207	0.15406622	0.119233064	0.104036435	0.10075243	0.104609184	0.11219575	0.10656299	0.10578994	0.10248878
0.08818491	0.10235289	0.119055316	0.12406033	0.12596343	0.1386415	0.15146707	0.15067102	0.12855472	0.10967314	0.09954954
0.111541525	0.12976538	0.1340423	0.13060509	0.12477993	0.120734766	0.11588271	0.114738904	0.101283655	0.089484215	0.0869111
0.084975585	0.07039483	0.06484348	0.05133825	0.0388144	0.032698452	0.028075797	0.023175355	0.020731995	0.018894944	0.02081257
0.022168562	0.024801701	0.027621867	0.033708442	0.046254892	0.06420107	0.10173176	0.1257151	0.15456508	0.18490599	0.20655037
0.22986709	0.26454833	0.28694257	0.29173765	0.36242273	0.38326988	0.42672786	0.4756407	0.5420351	0.5592021	0.57230896
0.44955555	0.41062072	0.36480975	0.40214968	0.44173887	0.46669137	0.46371925	0.4735255	0.40577695	0.47615892	0.5126747
0.5192385	0.52279913	0.53762376	0.55810136	0.58406234	0.5924656	0.5258899	0.59570926	0.7890408	0.7051828	0.7035905
0.7299833	0.731119	0.75645405	0.708167	0.6668055	0.5760674	0.58535403	0.6298398	0.6707822	0.69390607	0.67844933
0.7152718	0.72707886	0.7268897	0.73517126	0.7487836	0.75298095	0.7563959	0.7547014	0.6819145	0.74672484	0.8555839
0.8178226	0.83648306	0.84028953	0.8313063	0.805604	0.7680167	0.69338536	0.643556	0.67436147	0.7222999	0.76621836
0.7914441	0.81172854	0.80855113	0.8235087	0.8382749	0.8255629	0.7617028	0.6712007	0.61981905	0.60494274	0.47201338
0.5938648	0.60526186	0.5213779	0.5144173	0.51777077	0.52363104	0.5355588	0.43743336	0.29991034	0.19426997	0.17513597
0.22147743	0.2462305	0.2804797	0.3269284	0.43947774	0.55323845	0.67042863	0.71808887	0.719165	0.6913519	0.65219945
0.61681587	0.5639085	0.48478094	0.3998443	0.23186466	0.17540382	0.16407232	0.17840178	0.22358194	0.30837423	0.3061909
0.27249283	0.27179316	0.27114147	0.2417355	0.20006976	0.1942625	0.16295727	0.14532615	0.13377443	0.11127094	0.08657123
0.06915409	0.051638458	0.04071532	0.03686846	0.032946467	0.038034346	0.051017262	0.061746225	0.06698513	0.07576326	0.071729295
0.06350013	0.043628927	0.03678389	0.040442534	0.05759155	0.08026178	0.092604995	0.059991024	0.07028645	0.078816414	0.088371694
0.09837197	0.09481916	0.08661463	0.08086431	0.0766797	0.056810908	0.028433422	0.022589397	0.021186568	0.022727402	0.025767712
0.025336828	0.021302372	0.0199445	0.023457974	0.0504094	0.08931031	0.13486421	0.15029655	0.15375182	0.18336955	0.16597378
0.14578514	0.13402434	0.12844895	0.11661035	0.09715273	0.077866465	0.064208604	0.04957088	0.03924918	0.03246213	0.027505832
0.032807138	0.03719227	0.03851488	0.045707494	0.063296825	0.099484056	0.14820981	0.18291736	0.1665538	0.1511428	0.1374087
0.16371077	0.16388479	0.12252071	0.09597714	0.08000544	0.064493604	0.065670446	0.07764861	0.08129183	0.061031464	0.047633
0.052002426	0.047214124	0.053005327	0.054995395	0.053943582	0.06636024	0.08105849	0.10014579	0.10936309	0.09547986	0.08419894
0.078709766	0.069948696	0.044386633	0.05347298	0.05427051	0.047911268	0.04414593	0.040431477	0.03899524	0.044416577	0.05651482
0.060988896	0.04746575	0.046021424	0.041710287	0.04354375	0.04128737	0.0481146	0.06927934	0.099779025	0.113437004	0.09321486
0.10987554	0.1249715	0.15220846	0.1913211	0.15495174	0.21782576	0.27911836	0.30751935	0.32391602	0.32211962	0.3069627
0.28051394	0.24619618	0.18646051	0.13678764	0.1122372	0.06556683	0.046304725	0.046977676	0.03932194	0.0322003	0.029317511
0.026769804	0.026174843	0.028926969	0.029237483	0.026327958	0.027341366	0.024253847	0.024729319	0.027108062	0.026570259	0.024966674
0.024223587	0.02407416	0.024425507	0.02457543	0.021856723	0.0150467325	0.015289892	0.014289351	0.011940014	0.014686677	0.014024593
0.01368806	0.012515516	0.016514335	0.028499357	0.038614172	0.04633485	0.04397968	0.035808235	0.025790066	0.020508943	0.017179197
0.014363778	0.010262406	0.013733789	0.019914351	0.02444367	0.027894743	0.030144313	0.025697706	0.04715862	0.060091604	0.08713
0.103427514	0.12529376	0.16197382	0.19037499	0.21160764	0.27987847	0.3257765	0.3342745	0.30930337	0.29085734	0.34890017
0.36012295	0.35553208	0.35557288	0.37199634	0.37505183	0.3900292	0.4238961	0.44611466	0.39788538	0.4458215	0.6630197
0.47333634	0.583214	0.6727767	0.69961077	0.69217765	0.630996	0.6069365	0.6128227	0.6298079	0.63128847	0.61018354
0.5787864	0.45310393	0.37684837	0.33656642	0.2943218	0.19318542	0.13906296	0.13847613	0.14056487	0.14411308	0.120346546
0.12114415	0.18286504	0.21579015	0.32623658	0.50040823	0.62631816	0.7103801	0.72167206	0.7876763	0.8050071	0.78933924
0.729311	0.641333	0.5217177	0.48302615	0.6108051	0.6351649	0.6473751	0.5365119	0.39931795	0.27687272	0.20760636
0.17235817	0.12111035	0.2100434	0.28769913	0.11806361	0.091440804	0.10712766	0.10193561	0.07460698	0.055307727	0.033575848
0.028930247	0.025741348	0.027156768	0.038096465	0.053972486	0.11472609	0.16386868	0.18382226	0.23122634	0.37721732	0.5170673
0.4870082	0.4263206	0.3687344	0.28052327	0.5053058	0.5015737	0.22353798	0.25220236	0.3168941	0.31758666	0.28585508
0.26184663	0.17771399	0.17657916	0.16060412	0.14473654	0.15146561	0.13519071	0.1038044	0.10189114	0.1103589	0.12085602
0.10273029	0.08186342	0.06575348	0.0498275	0.05492231	0.07957395	0.08599777	0.08458094	0.067008704	0.0794565	0.08962004
0.103355385	0.11902727	0.12458908	0.14495945	0.20724663	0.26228753	0.2858946	0.32533297	0.3079354	0.22772546	0.20976628
0.19085096	0.15411937	0.1313652	0.13386151	0.15769337	0.20711716	0.28357428	0.356037	0.42192322	0.54228735	0.54931134
0.5959306	0.64665014	0.70205903	0.75476384	0.73945236	0.76852506	0.7542439	0.73640645	0.710014	0.67567116	0.6371617
0.56362194	0.5440466	0.49475864	0.3843201	0.26085103	0.20411518	0.21909103	0.3252517	0.42642492	0.5275968	0.59947973
0.6331011	0.6472468	0.49473637	0.4198657	0.30214632	0.22989723	0.143938	0.06543842	0.033005092	0.03115353	0.044818617
0.055281308	0.071258105	0.07438657	0.088158235	0.13414699	0.1274883	0.15363987	0.20110922	0.2577634	0.28643054	0.31133786
0.39499527	0.40554708	0.4393567	0.45450643	0.5132732	0.5463105	0.530303	0.50155306	0.502155	0.46114486	0.4493585
0.45744625	0.44884223	0.44480914	0.44869727	0.40245417	0.4277424	0.4301745	0.43304616	0.44922534	0.490022	0.513914
0.51206034	0.5453424	0.569652	0.58232164	0.5980741	0.6031822	0.59306055	0.5681463	0.52460593	0.49875373	0.47737038
0.43322778	0.42168796	0.40457377	0.39890426	0.37713277	0.3400878	0.3123561	0.3036052	0.30518115	0.271471	0.24345495
0.23909017	0.2203335	0.21114299	0.16220865	0.14908174	0.1367756	0.112994514	0.0644555	0.057271354	0.05041303	0.040333472
0.034065537	0.02783858	0.029600231	0.029805915	0.034634616	0.043226887	0.055355936	0.06476366	0.060699005	0.052680593	0.053365514
0.060948465	0.07273032	0.08277442	0.10126278	0.12818289	0.1388663	0.12708524	0.1902385	0.31402475	0.30384493	0.28239363
0.27381828	0.31828883	0.3450998	0.38278353	0.36896366	0.37753013	0.39239705	0.40056664	0.3978787	0.388522	0.36537024
0.3576804	0.333679	0.34558588	0.32835612	0.31135708	0.3056696	0.29564783	0.27925953	0.2153322	0.24617368	0.29024845
0.35896936	0.4613974	0.5116716	0.45727378	0.40006602	0.39606547	0.4304596	0.46710134	0.47826004	0.4579658	0.43241885
0.40576553	0.4135636	0.39372846	0.35410675	0.34076208	0.31177825	0.28716147	0.2598902	0.24850151	0.23355345	0.1818582
0.22621843	0.32169896	0.49603155	0.54684824	0.54877466	0.5187166	0.51196647	0.49417567	0.42249784	0.41146037	0.4413568
0.48579252	0.49023724	0.48244774	0.49729905	0.4636568	0.42244706	0.39613053	0.3641827	0.37004486	0.38305137	0.36202022
0.31532523	0.23549907	0.1832956	0.15310629	0.18546374	0.2247387	0.2546464	0.3189184	0.2119032	0.16345014	0.11660544
